_init_proc                                   .init       0000000000402848 00000080 00000010 00000000 R . . . . . .
idxFinalize                                  .text       0000000000412E6C 00000078 00000018 00000008 R . . . . . .
idxGetTableInfo                              .text       0000000000412EE4 00000554 00000070 00000000 R . . . . . .
idxAppendText                                .text       0000000000413438 00000224 00000038 00000010 R . . . . . .
idxIdentifierRequiresQuotes                  .text       000000000041365C 00000128 0000000C 00000004 R . . . . . .
idxAppendColDefn                             .text       0000000000413784 00000204 00000018 00000010 R . . . . . .
idxFindCompatible                            .text       0000000000413988 0000043C 00000068 00000014 R . . . . . .
idxCreateFromCons                            .text       0000000000413DC4 00000358 00000058 00000000 R . . . . . .
idxFindConstraint                            .text       000000000041411C 00000078 0000000C 00000008 R . . . . . .
idxCreateFromWhere                           .text       0000000000414194 000001B8 00000020 0000000C R . . . . . .
idxCreateCandidates                          .text       000000000041434C 000000C0 00000010 00000004 R . . . . . .
idxConstraintFree                            .text       000000000041440C 00000084 00000018 00000004 R . . . . . .
idxScanFree                                  .text       0000000000414490 000000D4 00000018 00000008 R . . . . . .
idxStatementFree                             .text       0000000000414564 000000CC 00000018 00000008 R . . . . . .
idxTableFree                                 .text       0000000000414630 00000084 00000018 00000004 R . . . . . .
idxWriteFree                                 .text       00000000004146B4 00000084 00000018 00000004 R . . . . . .
idxFindIndexes                               .text       0000000000414738 00000438 00001050 00000000 R . . . . . .
idxAuthCallback                              .text       0000000000414B70 00000224 00000040 00000018 R . . . . . .
idxProcessOneTrigger                         .text       0000000000414D94 00000590 00000058 00000000 R . . . . . .
idxProcessTriggers                           .text       0000000000415324 000000D0 00000018 00000008 R . . . . . .
idxCreateVtabSchema                          .text       00000000004153F4 000003F8 00000048 00000000 R . . . . . .
idxSampleFunc                                .text       00000000004157EC 00000200 00000028 00000008 R . . . . . .
idxRemFunc                                   .text       00000000004159EC 00000488 00000030 0000000C R . . . . . .
idxLargestIndex                              .text       0000000000415E74 00000134 00000030 00000000 R . . . . . .
idxPopulateOneStat1                          .text       0000000000415FA8 000007C8 00000080 00000018 R . . . . . .
idxBuildSampleTable                          .text       0000000000416770 00000118 00000020 00000008 R . . . . . .
idxPopulateStat1                             .text       0000000000416888 00000674 00000098 00000000 R . . . . . .
sqlite3_expert_new                           .text       0000000000416EFC 000002C0 00000038 00000000 R . . . . . .
sqlite3_expert_config                        .text       00000000004171BC 000000F0 00000028 00000010 R . . . . . .
sqlite3_expert_sql                           .text       00000000004172AC 000002C8 00000050 00000000 R . . . . . .
sqlite3_expert_analyze                       .text       0000000000417574 000001A4 00000030 00000000 R . . . . . .
sqlite3_expert_count                         .text       0000000000417718 00000050 0000000C 00000004 R . . . . . .
sqlite3_expert_report                        .text       0000000000417768 00000170 00000010 0000000C R . . . . . .
sqlite3_expert_destroy                       .text       00000000004178D8 00000140 00000010 00000004 R . . . . . .
shellLog                                     .text       0000000000417A18 000000B4 00000018 0000000C R . . . . . .
shellPutsFunc                                .text       0000000000417ACC 000000D8 00000020 0000000C R . . . . . .
editFunc                                     .text       0000000000417BA4 000009DC 00000080 00000008 R . . . . . .
outputModePush                               .text       0000000000418580 000000AC 00000010 00000004 R . . . . . .
outputModePop                                .text       000000000041862C 000000AC 00000010 00000004 R . . . . . .
output_hex_blob                              .text       00000000004186D8 000000F4 00000018 0000000C R . . . . . .
unused_string                                .text       00000000004187CC 00000108 00000020 00000010 R . . . . . .
output_quoted_string                         .text       00000000004188D4 00000210 00000018 00000008 R . . . . . .
output_quoted_escaped_string                 .text       0000000000418AE4 00000480 00000060 00000000 R . . . . . .
output_c_string                              .text       0000000000418F64 000002C4 00000018 00000008 R . . . . . .
output_html_string                           .text       0000000000419228 000002F4 00000018 00000008 R . . . . . .
output_csv                                   .text       000000000041951C 00000230 00000020 0000000C R . . . . . .
interrupt_handler                            .text       000000000041974C 000000A8 00000010 00000004 R . . . . . .
shellAuth                                    .text       00000000004197F4 000001E4 00000048 00000018 R . . . . . .
printSchemaLine                              .text       00000000004199D8 000000CC 00000010 0000000C R . . . . . .
printSchemaLineN                             .text       0000000000419AA4 00000088 0000000A 00000010 R . . . . . .
wsToEol                                      .text       0000000000419B2C 00000134 00000018 00000004 R . . . . . .
eqp_append                                   .text       0000000000419C60 0000018C 00000028 00000010 R . . . . . .
eqp_reset                                    .text       0000000000419DEC 000000B0 00000018 00000004 R . . . . . .
eqp_next_row                                 .text       0000000000419E9C 0000008C 0000000C 0000000C R . . . . . .
eqp_render_level                             .text       0000000000419F28 000001AC 00000028 00000008 R . . . . . .
eqp_render                                   .text       000000000041A0D4 00000150 00000018 00000004 R . . . . . .
shell_callback                               .text       000000000041A224 000026CC 000000D8 00000014 R . . . . . .
callback                                     .text       000000000041C8F0 00000054 00000018 00000010 R . . . . . .
captureOutputCallback                        .text       000000000041C944 00000118 00000010 00000010 R . . . . . .
createSelftestTable                          .text       000000000041CA5C 00000134 00000028 00000000 R . . . . . .
set_table_name                               .text       000000000041CB90 00000228 00000020 00000008 R . . . . . .
run_table_dump_query                         .text       000000000041CDB8 00000444 00000048 00000000 R . . . . . .
save_err_msg                                 .text       000000000041D1FC 000000F8 00000020 00000004 R . . . . . .
displayLinuxIoStats                          .text       000000000041D2F4 00000224 000000F0 00000000 R . . . . . .
displayStatLine                              .text       000000000041D518 000001E4 00000118 00000014 R . . . . . .
display_stats                                .text       000000000041D6FC 00000B08 000000A0 0000000C R . . . . . .
display_scanstats                            .text       000000000041E204 0000002C 00000004 00000008 R . . . . . .
str_in_array                                 .text       000000000041E230 000000B8 00000018 00000008 R . . . . . .
explain_data_prepare                         .text       000000000041E2E8 00000690 00000098 00000000 R . . . . . .
