.init_proc                                   .init  0000000000011634 0000000C 00000008 FFFFFFFFFFFFFFF8 R . . . . . .
idxFindCompatible                            .text  000000000001D804 00000344 00000060 00000004         R . . . B . .
idxCreateFromCons                            .text  000000000001DB54 00000290 00000050 00000000         R . . . B . .
idxFindConstraint                            .text  000000000001DDF4 0000006C 00000018 00000000         R . . . B . .
idxCreateFromWhere                           .text  000000000001DE60 00000160 00000028 00000000         R . . . B . .
idxCreateCandidates                          .text  000000000001DFD0 000000A8 00000018 00000000         R . . . B . .
idxConstraintFree                            .text  000000000001E078 00000050 00000018 00000000         R . . . B . .
idxScanFree                                  .text  000000000001E0C8 00000088 00000018 00000000         R . . . B . .
idxStatementFree                             .text  000000000001E150 00000078 00000018 00000000         R . . . B . .
idxTableFree                                 .text  000000000001E1C8 00000050 00000018 00000000         R . . . B . .
idxWriteFree                                 .text  000000000001E218 00000050 00000018 00000000         R . . . B . .
idxFindIndexes                               .text  000000000001E268 000005F0 00001050 00000000         R . . . B . .
idxAuthCallback                              .text  000000000001E870 000001C0 00000038 00000008         R . . . B . .
idxProcessOneTrigger                         .text  000000000001EA38 000003FC 00000050 00000000         R . . . B . .
idxProcessTriggers                           .text  000000000001EE78 000000BC 00000020 00000000         R . . . B . .
idxCreateVtabSchema                          .text  000000000001EF34 000002E0 00000040 00000000         R . . . B . .
idxSampleFunc                                .text  000000000001F234 000001F8 00000030 00000000         R . . . B . .
idxRemFunc                                   .text  000000000001F448 00000300 00000038 00000000         R . . . B . .
idxLargestIndex                              .text  000000000001F760 000000E4 00000028 00000000         R . . . B . .
idxPopulateOneStat1                          .text  000000000001F84C 00000590 00000078 00000008         R . . . B . .
idxBuildSampleTable                          .text  000000000001FE18 000000AC 00000020 00000000         R . . . B . .
idxPopulateStat1                             .text  000000000001FECC 0000056C 00000098 00000000         R . . . B . .
sqlite3_expert_new                           .text  0000000000020438 000001F4 00000030 00000000         R . . . B . .
sqlite3_expert_config                        .text  0000000000020640 000000C4 00000030 00000000         R . . . B . .
sqlite3_expert_sql                           .text  0000000000020708 0000022C 00000048 00000000         R . . . B . .
sqlite3_expert_analyze                       .text  0000000000020938 00000158 00000028 00000000         R . . . B . .
