.init_proc                                   .init  0000000000011634 0000000C 00000008 FFFFFFFFFFFFFFF8 R . . . . . .
indexColumnNotNull                           .text  00000000000E6CBC 00000084 00000018 00000000         R . . . B . .
isDistinctRedundant                          .text  00000000000E6D40 00000208 00000048 00000000         R . . . B . .
estLog                                       .text  00000000000E6F48 00000068 00000018 00000000         R . . . B . .
translateColumnToCopy                        .text  00000000000E6FB0 00000170 00000028 00000004         R . . . B . .
termCanDriveIndex                            .text  00000000000E7120 00000144 00000028 00000000         R . . . B . .
constructAutomaticIndex                      .text  00000000000E7264 00000A84 000000E0 0000000C         R . . . B . .
allocateIndexInfo                            .text  00000000000E7D04 0000068C 00000058 0000000C         R . . . B . .
vtabBestIndex                                .text  00000000000E8394 00000100 00000020 00000000         R . . . B . .
whereRangeAdjust                             .text  00000000000E8498 0000008C 00000018 00000000         R . . . B . .
whereRangeScanEst                            .text  00000000000E8524 00000140 00000028 00000004         R . . . B . .
whereLoopInit                                .text  00000000000E8664 00000054 00000010 00000000         R . . . B . .
whereLoopClearUnion                          .text  00000000000E86B8 000000E0 00000010 00000000         R . . . B . .
whereLoopClear                               .text  00000000000E8798 00000060 00000010 00000000         R . . . B . .
whereLoopResize                              .text  00000000000E87F8 000000F8 00000028 00000000         R . . . B . .
whereLoopXfer                                .text  00000000000E88F0 000000F0 00000018 00000000         R . . . B . .
whereLoopDelete                              .text  00000000000E89E0 00000038 00000010 00000000         R . . . B . .
whereInfoFree                                .text  00000000000E8A18 00000108 00000020 00000000         R . . . B . .
whereLoopCheaperProperSubset                 .text  00000000000E8B20 000001E0 00000018 00000000         R . . . B . .
whereLoopAdjustCost                          .text  00000000000E8D00 0000013C 00000010 00000000         R . . . B . .
whereLoopFindLesser                          .text  00000000000E8E3C 000001F4 00000018 00000000         R . . . B . .
whereLoopInsert                              .text  00000000000E9030 00000268 00000040 00000000         R . . . B . .
whereLoopOutputAdjust                        .text  00000000000E9298 00000348 00000050 00000000         R . . . B . .
whereRangeVectorLen                          .text  00000000000E95E4 000002A8 00000030 00000004         R . . . B . .
whereLoopAddBtreeIndex                       .text  00000000000E988C 00000EEC 000000F8 00000000         R . . . B . .
indexMightHelpWithOrderBy                    .text  00000000000EA780 0000021C 00000030 00000000         R . . . B . .
whereUsablePartialIndex                      .text  00000000000EA99C 00000158 00000030 00000000         R . . . B . .
whereLoopAddBtree                            .text  00000000000EAAF4 00000A48 000000C8 00000000         R . . . B . .
whereLoopAddVirtualOne                       .text  00000000000EB544 000006E4 00000058 00000018         R . . . B . .
sqlite3_vtab_collation                       .text  00000000000EBC34 00000108 00000028 00000000         R . . . B . .
whereLoopAddVirtual                          .text  00000000000EBD40 000005A8 000000A0 00000000         R . . . B . .
whereLoopAddOr                               .text  00000000000EC2EC 00000604 000002D0 00000000         R . . . B . .
whereLoopAddAll                              .text  00000000000EC8F4 00000330 00000060 00000000         R . . . B . .
wherePathSatisfiesOrderBy                    .text  00000000000ECC2C 00000EA0 000000F8 0000000C         R . . . B . .
sqlite3WhereIsSorted                         .text  00000000000EDAD0 00000028 00000010 00000000         R . . . B . .
whereSortingCost                             .text  00000000000EDAF8 00000110 00000028 00000000         R . . . B . .
wherePathSolver                              .text  00000000000EDC08 00000D8C 000000B0 00000000         R . . . B . .
whereShortCut                                .text  00000000000EE99C 000003D8 00000050 00000000         R . . . B . .
exprNodeIsDeterministic                      .text  00000000000EED7C 00000060 00000010 00000000         R . . . B . .
exprIsDeterministic                          .text  00000000000EEDDC 00000080 00000030 00000000         R . . . B . .
sqlite3WhereBegin                            .text  00000000000EEE68 000011B4 000000F0 0000000C         R . . . B . .
sqlite3WhereEnd                              .text  00000000000F001C 000008CC 00000088 00000000         R . . . B . .
row_numberStepFunc                           .text  00000000000F08EC 00000058 00000028 00000000         R . . . B . .
row_numberValueFunc                          .text  00000000000F0944 0000005C 00000020 00000000         R . . . B . .
dense_rankStepFunc                           .text  00000000000F09A0 00000054 00000028 00000000         R . . . B . .
dense_rankValueFunc                          .text  00000000000F09F4 00000090 00000020 00000000         R . . . B . .
rankStepFunc                                 .text  00000000000F0A84 00000084 00000028 00000000         R . . . B . .
rankValueFunc                                .text  00000000000F0B08 00000060 00000020 00000000         R . . . B . .
percent_rankStepFunc                         .text  00000000000F0B68 000000BC 00000028 00000000         R . . . B . .
percent_rankValueFunc                        .text  00000000000F0C24 000000F4 00000030 00000000         R . . . B . .
cume_distStepFunc                            .text  00000000000F0D18 00000098 00000028 00000000         R . . . B . .
cume_distValueFunc                           .text  00000000000F0DB0 000000C0 00000030 00000000         R . . . B . .
ntileStepFunc                                .text  00000000000F0E70 000000E0 00000028 00000000         R . . . B . .
ntileValueFunc                               .text  00000000000F0F54 0000021C 00000048 00000000         R . . . B . .
last_valueStepFunc                           .text  00000000000F1170 0000009C 00000020 00000000         R . . . B . .
last_valueInvFunc                            .text  00000000000F120C 00000080 00000020 00000000         R . . . B . .
last_valueValueFunc                          .text  00000000000F128C 0000005C 00000018 00000000         R . . . B . .
last_valueFinalizeFunc                       .text  00000000000F12E8 00000078 00000018 00000000         R . . . B . .
noopStepFunc                                 .text  00000000000F1360 00000028 00000018 00000000         R . . . B . .
noopValueFunc                                .text  00000000000F1388 00000020 00000010 00000000         R . . . B . .
sqlite3WindowFunctions                       .text  00000000000F13A8 0000001C 00000008 00000000         R . . . B . .
sqlite3WindowUpdate                          .text  00000000000F13C8 00000328 00000020 00000000         R . . . B . .
selectWindowRewriteExprCb                    .text  00000000000F1710 00000274 00000028 00000000         R . . . B . .
selectWindowRewriteSelectCb                  .text  00000000000F1984 00000078 00000018 00000000         R . . . B . .
selectWindowRewriteEList                     .text  00000000000F19FC 000000D4 00000050 00000004         R . . . B . .
exprListAppendList                           .text  00000000000F1ADC 00000130 00000028 00000000         R . . . B . .
sqlite3WindowRewrite                         .text  00000000000F1C0C 000004FC 00000060 00000000         R . . . B . .
sqlite3WindowDelete                          .text  00000000000F2110 000000B0 00000010 00000000         R . . . B . .
sqlite3WindowListDelete                      .text  00000000000F21C0 00000050 00000018 00000000         R . . . B . .
sqlite3WindowOffsetExpr                      .text  00000000000F2210 00000068 00000010 00000000         R . . . B . .
sqlite3WindowAlloc                           .text  00000000000F2278 00000170 00000020 00000008         R . . . B . .
sqlite3WindowAttach                          .text  00000000000F23F0 000000A0 00000018 00000000         R . . . B . .
sqlite3WindowCompare                         .text  00000000000F2494 00000148 00000018 00000000         R . . . B . .
sqlite3WindowCodeInit                        .text  00000000000F25DC 0000031C 00000030 00000000         R . . . B . .
windowCheckIntValue                          .text  00000000000F2908 000000E4 00000030 00000000         R . . . B . .
windowArgCount                               .text  00000000000F29F4 0000004C 00000018 00000000         R . . . B . .
windowAggStep                                .text  00000000000F2A40 00000474 00000050 00000008         R . . . B . .
windowAggFinal                               .text  00000000000F2EBC 000001F0 00000030 00000000         R . . . B . .
windowPartitionCache                         .text  00000000000F30AC 00000280 00000058 00000008         R . . . B . .
windowReturnOneRow                           .text  00000000000F3330 000003E4 00000058 00000000         R . . . B . .
windowReturnRows                             .text  00000000000F3724 000000FC 00000028 0000000C         R . . . B . .
windowInitAccum                              .text  00000000000F3820 0000018C 00000028 00000000         R . . . B . .
windowCodeRowExprStep                        .text  00000000000F39B4 000006D8 00000070 00000004         R . . . B . .
windowCodeCacheStep                          .text  00000000000F4098 0000057C 00000090 00000004         R . . . B . .
windowCodeDefaultStep                        .text  00000000000F4618 0000057C 00000078 00000004         R . . . B . .
sqlite3WindowDup                             .text  00000000000F4B98 0000016C 00000020 00000000         R . . . B . .
sqlite3WindowListDup                         .text  00000000000F4D04 000000C0 00000020 00000000         R . . . B . .
sqlite3WindowCodeStep                        .text  00000000000F4DC8 000001B0 00000030 00000004         R . . . B . .
disableLookaside                             .text  00000000000F4F88 0000004C 00000010 00000000         R . . . B . .
parserDoubleLinkSelect                       .text  00000000000F4FD4 000000E4 00000020 00000000         R . . . B . .
tokenExpr                                    .text  00000000000F50BC 000001D0 00000028 00000000         R . . . B . .
binaryToUnaryIfNull                          .text  00000000000F5290 0000009C 00000020 00000000         R . . . B . .
parserAddExprIdListTerm                      .text  00000000000F532C 0000009C 00000020 00000004         R . . . B . .
sqlite3ParserInit                            .text  00000000000F53CC 00000074 00000018 00000000         R . . . B . .
yy_destructor                                .text  00000000000F5440 00000348 00000020 00000000         R . . . B . .
yy_pop_parser_stack                          .text  00000000000F5788 00000050 00000018 00000000         R . . . B . .
sqlite3ParserFinalize                        .text  00000000000F57D8 00000048 00000018 00000000         R . . . B . .
yy_find_shift_action                         .text  00000000000F5820 00000164 00000020 00000000         R . . . B . .
yy_find_reduce_action                        .text  00000000000F599C 00000068 00000018 00000000         R . . . B . .
yyStackOverflow                              .text  00000000000F5A0C 00000064 00000018 00000000         R . . . B . .
yy_shift                                     .text  00000000000F5A74 000000D0 00000020 00000000         R . . . B . .
yy_reduce                                    .text  00000000000F5B44 00004820 00000108 00000008         R . . . B . .
yy_syntax_error                              .text  00000000000FA36C 00000074 00000020 00000000         R . . . B . .
yy_accept                                    .text  00000000000FA3E8 00000038 00000018 00000000         R . . . B . .
sqlite3Parser                                .text  00000000000FA420 000001A4 00000038 00000000         R . . . B . .
sqlite3ParserFallback                        .text  00000000000FA5D4 00000048 00000010 00000000         R . . . B . .
keywordCode                                  .text  00000000000FA620 000001CC 00000028 00000000         R . . . B . .
sqlite3KeywordCode                           .text  00000000000FA80C 00000064 00000018 00000000         R . . . B . .
sqlite3_keyword_name                         .text  00000000000FA874 00000090 00000018 00000000         R . . . B . .
sqlite3_keyword_count                        .text  00000000000FA910 0000001C 00000004 00000000         R . . . B . .
sqlite3_keyword_check                        .text  00000000000FA92C 00000040 00000010 00000000         R . . . B . .
sqlite3IsIdChar                              .text  00000000000FA96C 00000044 00000010 00000000         R . . . B . .
getToken                                     .text  00000000000FA9B4 000000E8 00000020 00000000         R . . . B . .
analyzeWindowKeyword                         .text  00000000000FAAA0 00000068 00000018 00000000         R . . . B . .
analyzeOverKeyword                           .text  00000000000FAB08 00000060 00000018 00000000         R . . . B . .
analyzeFilterKeyword                         .text  00000000000FAB68 00000050 00000010 00000000         R . . . B . .
sqlite3GetToken                              .text  00000000000FABB8 00000CB8 00000020 00000000         R . . . B . .
sqlite3RunParser                             .text  00000000000FB878 00000528 00000500 00000000         R . . . B . .
sqlite3_complete                             .text  00000000000FBDB0 000006D0 00000020 00000000         R . . . B . .
sqlite3_complete16                           .text  00000000000FC4A0 000000A4 00000028 00000000         R . . . B . .
sqlite3_libversion                           .text  00000000000FC544 0000001C 00000004 00000000         R . . . B . .
sqlite3_libversion_number                    .text  00000000000FC564 0000001C 00000004 00000000         R . . . B . .
sqlite3_threadsafe                           .text  00000000000FC584 0000001C 00000004 00000000         R . . . B . .
sqlite3_initialize                           .text  00000000000FC5A0 00000254 00000010 00000000         R . . . B . .
sqlite3_shutdown                             .text  00000000000FC7FC 000000B0 00000008 00000000         R . . . B . .
sqlite3_config                               .text  00000000000FC8B8 00000574 00000040 00000000         R . . . B . .
setupLookaside                               .text  00000000000FCE3C 00000260 00000030 00000000         R . . . B . .
sqlite3_db_mutex                             .text  00000000000FD09C 00000028 00000010 00000000         R . . . B . .
sqlite3_db_release_memory                    .text  00000000000FD0C4 000000B8 00000020 00000000         R . . . B . .
sqlite3_db_cacheflush                        .text  00000000000FD17C 00000128 00000028 00000000         R . . . B . .
sqlite3_db_config                            .text  00000000000FD2A4 0000029C 00000048 00000000         R . . . B . .
allSpaces                                    .text  00000000000FD54C 00000070 00000010 00000000         R . . . B . .
binCollFunc                                  .text  00000000000FD5BC 000000DC 00000020 00000004         R . . . B T .
sqlite3IsBinary                              .text  00000000000FD698 0000005C 00000010 00000000         R . . . B . .
nocaseCollatingFunc                          .text  00000000000FD6F8 00000070 00000020 00000004         R . . . B . .
sqlite3_last_insert_rowid                    .text  00000000000FD768 00000030 00000010 00000000         R . . . B . .
sqlite3_set_last_insert_rowid                .text  00000000000FD798 00000058 00000020 00000000         R . . . B . .
sqlite3_changes                              .text  00000000000FD7F0 00000028 00000010 00000000         R . . . B . .
sqlite3_total_changes                        .text  00000000000FD818 00000028 00000010 00000000         R . . . B . .
sqlite3CloseSavepoints                       .text  00000000000FD840 0000007C 00000018 00000000         R . . . B . .
functionDestroy                              .text  00000000000FD8BC 00000080 00000018 00000000         R . . . B . .
disconnectAllVtab                            .text  00000000000FD93C 00000130 00000028 00000000         R . . . B . .
connectionIsBusy                             .text  00000000000FDA6C 000000A8 00000018 00000000         R . . . B . .
sqlite3Close                                 .text  00000000000FDB14 0000010C 00000018 00000000         R . . . B . .
sqlite3_close                                .text  00000000000FDC2C 0000002C 00000010 00000000         R . . . B . .
sqlite3_close_v2                             .text  00000000000FDC58 0000002C 00000010 00000000         R . . . B . .
sqlite3LeaveMutexAndCloseZombie              .text  00000000000FDC84 000003C0 00000030 00000000         R . . . B . .
sqlite3RollbackAll                           .text  00000000000FE050 000001C4 00000028 00000000         R . . . B . .
sqlite3ErrStr                                .text  00000000000FE214 000000BC 00000018 00000000         R . . . B . .
sqliteDefaultBusyCallback                    .text  00000000000FE2E4 0000010C 00000028 00000000         R . . . B . .
sqlite3InvokeBusyHandler                     .text  00000000000FE3F8 000000E0 00000018 00000000         R . . . B . .
sqlite3_busy_handler                         .text  00000000000FE4D8 00000084 00000018 00000000         R . . . B . .
sqlite3_progress_handler                     .text  00000000000FE55C 000000A0 00000018 00000000         R . . . B . .
sqlite3_busy_timeout                         .text  00000000000FE5FC 0000006C 00000010 00000000         R . . . B . .
sqlite3_interrupt                            .text  00000000000FE66C 0000002C 00000010 00000000         R . . . B . .
sqlite3CreateFunc                            .text  00000000000FE698 000003A0 00000048 0000001C         R . . . B . .
createFunctionApi                            .text  00000000000FEA40 00000150 00000040 0000001C         R . . . B . .
sqlite3_create_function                      .text  00000000000FEB90 00000078 00000038 00000010         R . . . B . .
sqlite3_create_function_v2                   .text  00000000000FEC08 00000078 00000038 00000014         R . . . B . .
sqlite3_create_window_function               .text  00000000000FEC80 00000078 00000038 00000018         R . . . B . .
sqlite3_create_function16                    .text  00000000000FECF8 000000D0 00000040 00000010         R . . . B . .
sqlite3InvalidFunction                       .text  00000000000FEDC8 00000058 00000020 00000000         R . . . B . .
sqlite3_overload_function                    .text  00000000000FEE24 000000EC 00000038 00000000         R . . . B . .
sqlite3_trace                                .text  00000000000FEF18 0000008C 00000020 00000000         R . . . B . .
sqlite3_trace_v2                             .text  00000000000FEFA4 0000009C 00000018 00000000         R . . . B . .
sqlite3_profile                              .text  00000000000FF040 0000006C 00000020 00000000         R . . . B . .
sqlite3_commit_hook                          .text  00000000000FF0AC 0000006C 00000020 00000000         R . . . B . .
sqlite3_update_hook                          .text  00000000000FF118 0000006C 00000020 00000000         R . . . B . .
sqlite3_rollback_hook                        .text  00000000000FF184 0000006C 00000020 00000000         R . . . B . .
sqlite3WalDefaultHook                        .text  00000000000FF1F0 00000050 00000018 00000000         R . . . B . .
sqlite3_wal_autocheckpoint                   .text  00000000000FF240 00000058 00000010 00000000         R . . . B . .
sqlite3_wal_hook                             .text  00000000000FF29C 0000006C 00000020 00000000         R . . . B . .
sqlite3_wal_checkpoint_v2                    .text  00000000000FF308 00000160 00000028 00000004         R . . . B . .
sqlite3_wal_checkpoint                       .text  00000000000FF46C 00000040 00000018 00000000         R . . . B . .
sqlite3Checkpoint                            .text  00000000000FF4AC 00000108 00000028 00000004         R . . . B . .
sqlite3TempInMemory                          .text  00000000000FF5B4 00000038 00000010 00000000         R . . . B . .
sqlite3_errmsg                               .text  00000000000FF5EC 000000E0 00000018 00000000         R . . . B . .
sqlite3_errmsg16                             .text  00000000000FF6D0 000000F4 00000020 00000000         R . . . B . .
sqlite3_errcode                              .text  00000000000FF7CC 00000084 00000010 00000000         R . . . B . .
sqlite3_extended_errcode                     .text  00000000000FF854 00000078 00000010 00000000         R . . . B . .
sqlite3_system_errno                         .text  00000000000FF8D0 0000003C 00000010 00000000         R . . . B . .
sqlite3_errstr                               .text  00000000000FF90C 00000028 00000010 00000000         R . . . B . .
createCollation                              .text  00000000000FF934 00000244 00000030 00000008         R . . . B . .
sqlite3_limit                                .text  00000000000FFB80 000000B8 00000020 00000000         R . . . B . .
sqlite3ParseUri                              .text  00000000000FFC3C 00000944 00000080 00000008         R . . . B . .
openDatabase                                 .text  00000000001005B8 000007E4 00000040 00000000         R . . . B . .
sqlite3_open                                 .text  0000000000100DE4 00000038 00000010 00000000         R . . . B . .
sqlite3_open_v2                              .text  0000000000100E1C 00000040 00000018 00000000         R . . . B . .
sqlite3_open16                               .text  0000000000100E5C 00000128 00000028 00000000         R . . . B . .
sqlite3_create_collation                     .text  0000000000100F88 00000050 00000020 00000004         R . . . B . .
sqlite3_create_collation_v2                  .text  0000000000100FD8 00000088 00000028 00000008         R . . . B . .
sqlite3_create_collation16                   .text  0000000000101060 000000C0 00000028 00000004         R . . . B . .
sqlite3_collation_needed                     .text  0000000000101120 0000006C 00000018 00000000         R . . . B . .
sqlite3_collation_needed16                   .text  000000000010118C 0000006C 00000018 00000000         R . . . B . .
sqlite3_global_recover                       .text  00000000001011F8 0000001C 00000004 00000000         R . . . B . .
sqlite3_get_autocommit                       .text  0000000000101214 00000028 00000010 00000000         R . . . B . .
sqlite3ReportError                           .text  000000000010123C 0000004C 00000020 00000000         R . . . B . .
sqlite3CorruptError                          .text  000000000010128C 00000030 00000010 00000000         R . . . B . .
sqlite3MisuseError                           .text  00000000001012C0 00000030 00000010 00000000         R . . . B . .
sqlite3CantopenError                         .text  00000000001012F4 00000030 00000010 00000000         R . . . B . .
sqlite3_thread_cleanup                       .text  0000000000101328 00000018 00000004 00000000         R . . . B . .
sqlite3_table_column_metadata                .text  0000000000101340 0000042C 00000060 00000014         R . . . B . .
sqlite3_sleep                                .text  0000000000101780 00000084 00000018 00000000         R . . . B . .
sqlite3_extended_result_codes                .text  0000000000101808 00000064 00000010 00000000         R . . . B . .
sqlite3_file_control                         .text  000000000010186C 00000154 00000028 00000000         R . . . B . .
sqlite3_test_control                         .text  00000000001019C0 00000464 00000058 00000000         R . . . B . .
sqlite3_uri_parameter                        .text  0000000000101E34 000000DC 00000018 00000000         R . . . B . .
sqlite3_uri_boolean                          .text  0000000000101F10 00000078 00000020 00000000         R . . . B . .
sqlite3_uri_int64                            .text  0000000000101F88 000000A0 00000038 00000000         R . . . B . .
sqlite3DbNameToBtree                         .text  000000000010202C 00000074 00000018 00000000         R . . . B . .
sqlite3_db_filename                          .text  00000000001020A0 00000050 00000018 00000000         R . . . B . .
sqlite3_db_readonly                          .text  00000000001020F0 00000050 00000018 00000000         R . . . B . .
sqlite3_compileoption_used                   .text  0000000000102140 0000011C 00000028 00000000         R . . . B . .
sqlite3_compileoption_get                    .text  0000000000102264 00000088 00000020 00000000         R . . . B . .
sqlite3Fts3PutVarint                         .text  00000000001022F0 000000B8 00000030 00000000         R . . . B . .
sqlite3Fts3GetVarint                         .text  00000000001023A8 00000250 00000040 00000000         R . . . B . .
sqlite3Fts3GetVarint32                       .text  00000000001025F8 0000014C 00000018 00000000         R . . . B . .
sqlite3Fts3VarintLen                         .text  0000000000102744 00000068 00000018 00000000         R . . . B . .
sqlite3Fts3Dequote                           .text  00000000001027AC 0000015C 00000020 00000000         R . . . B . .
fts3GetDeltaVarint                           .text  0000000000102908 00000094 00000028 00000000         R . . . B . .
fts3GetReverseVarint                         .text  00000000001029A0 000000C8 00000038 00000000         R . . . B . .
fts3DisconnectMethod                         .text  0000000000102A6C 000000EC 00000018 00000000         R . . . B . .
sqlite3Fts3ErrMsg                            .text  0000000000102B58 00000084 00000028 00000000         R . . . B . .
fts3DbExec                                   .text  0000000000102BE0 000000D0 00000038 00000000         R . . . B . .
fts3DestroyMethod                            .text  0000000000102CB4 00000138 00000030 00000000         R . . . B . .
fts3DeclareVtab                              .text  0000000000102E04 00000160 00000028 00000000         R . . . B . .
sqlite3Fts3CreateStatTable                   .text  0000000000102F74 00000068 00000018 00000000         R . . . B . .
fts3CreateTables                             .text  0000000000102FE0 0000020C 00000038 00000000         R . . . B . .
fts3DatabasePageSize                         .text  000000000010320C 00000128 00000028 00000000         R . . . B . .
fts3IsSpecialColumn                          .text  000000000010333C 000000B4 00000020 00000000         R . . . B . .
fts3Appendf                                  .text  00000000001033F4 000000FC 00000030 00000000         R . . . B . .
fts3QuoteId                                  .text  00000000001034F8 00000114 00000020 00000000         R . . . B . .
fts3ReadExprList                             .text  000000000010360C 00000234 00000038 00000000         R . . . B . .
fts3WriteExprList                            .text  0000000000103868 00000108 00000030 00000000         R . . . B . .
fts3GobbleInt                                .text  0000000000103984 000000F0 00000020 00000000         R . . . B . .
fts3PrefixParameter                          .text  0000000000103A78 000001F8 00000038 00000000         R . . . B . .
fts3ContentColumns                           .text  0000000000103C74 00000278 00000060 0000000C         R . . . B . .
fts3InitVtab                                 .text  0000000000103EF8 00000F80 00000110 0000000C         R . . . B . .
fts3ConnectMethod                            .text  0000000000104EB8 00000058 00000028 00000008         R . . . B . .
fts3CreateMethod                             .text  0000000000104F10 00000058 00000028 00000008         R . . . B . .
fts3SetEstimatedRows                         .text  0000000000104F68 0000004C 00000020 00000000         R . . . B . .
fts3SetUniqueFlag                            .text  0000000000104FB8 00000044 00000010 00000000         R . . . B . .
fts3BestIndexMethod                          .text  0000000000105000 000004A8 00000040 00000000         R . . . B . .
fts3OpenMethod                               .text  00000000001054C0 00000060 00000018 00000000         R . . . B . .
fts3CursorFinalizeStmt                       .text  0000000000105520 00000090 00000018 00000000         R . . . B . .
fts3ClearCursor                              .text  00000000001055B0 00000074 00000010 00000000         R . . . B . .
fts3CloseMethod                              .text  0000000000105624 00000038 00000018 00000000         R . . . B . .
fts3CursorSeekStmt                           .text  000000000010565C 000000F0 00000028 00000000         R . . . B . .
fts3CursorSeek                               .text  0000000000105750 00000114 00000020 00000000         R . . . B . .
fts3ScanInteriorNode                         .text  0000000000105868 000003FC 00000068 00000008         R . . . B . .
fts3SelectLeaf                               .text  0000000000105C6C 00000258 00000050 0000000C         R . . . B . .
fts3PutDeltaVarint                           .text  0000000000105EC8 0000007C 00000020 00000000         R . . . B . .
fts3PoslistCopy                              .text  0000000000105F44 000000E4 00000020 00000000         R . . . B . .
fts3ColumnlistCopy                           .text  0000000000106028 000000E0 00000020 00000000         R . . . B . .
fts3ReadNextPos                              .text  0000000000106108 00000070 00000018 00000000         R . . . B . .
fts3PutColNumber                             .text  0000000000106178 00000090 00000020 00000000         R . . . B . .
fts3PoslistMerge                             .text  0000000000106208 00000414 00000058 00000000         R . . . B . .
fts3PoslistPhraseMerge                       .text  0000000000106620 000006D8 00000068 00000008         R . . . B . .
fts3PoslistNearMerge                         .text  0000000000106CFC 00000180 00000048 00000008         R . . . B . .
fts3GetDeltaVarint3                          .text  0000000000106E80 000000F0 00000030 00000000         R . . . B . .
fts3PutDeltaVarint3                          .text  0000000000106F74 000000C8 00000028 00000000         R . . . B . .
fts3DoclistOrMerge                           .text  000000000010703C 00000334 00000080 0000000C         R . . . B . .
fts3DoclistPhraseMerge                       .text  0000000000107374 00000330 00000090 00000008         R . . . B . .
sqlite3Fts3FirstFilter                       .text  00000000001076A8 00000248 00000048 00000004         R . . . B . .
fts3TermSelectFinishMerge                    .text  00000000001078F4 00000190 00000040 00000000         R . . . B . .
fts3TermSelectMerge                          .text  0000000000107A88 00000224 00000048 00000000         R . . . B . .
fts3SegReaderCursorAppend                    .text  0000000000107CB0 000000B8 00000018 00000000         R . . . B . .
fts3SegReaderCursor                          .text  0000000000107D68 00000364 00000090 00000014         R . . . B . .
sqlite3Fts3SegReaderCursor                   .text  00000000001080D0 00000078 00000030 00000014         R . . . B T .
fts3SegReaderCursorAddZero                   .text  0000000000108148 00000068 00000030 00000004         R . . . B . .
fts3TermSegReaderCursor                      .text  00000000001081B0 00000290 00000048 00000004         R . . . B . .
fts3SegReaderCursorFree                      .text  0000000000108440 0000002C 00000010 00000000         R . . . B . .
fts3TermSelect                               .text  000000000010846C 000001FC 000000C0 00000004         R . . . B . .
fts3DoclistCountDocids                       .text  000000000010866C 000000C8 00000020 00000000         R . . . B . .
fts3NextMethod                               .text  0000000000108738 000000C8 00000020 00000000         R . . . B . .
fts3DocidRange                               .text  0000000000108800 00000068 00000028 00000000         R . . . B . .
fts3FilterMethod                             .text  0000000000108868 000004A4 00000068 00000004         R . . . B . .
fts3EofMethod                                .text  0000000000108D1C 00000050 00000018 00000000         R . . . B . .
fts3RowidMethod                              .text  0000000000108D6C 00000044 00000018 00000000         R . . . B . .
fts3ColumnMethod                             .text  0000000000108DB0 00000170 00000030 00000000         R . . . B . .
fts3UpdateMethod                             .text  0000000000108F24 00000040 00000018 00000000         R . . . B . .
fts3SyncMethod                               .text  0000000000108F64 00000158 00000038 00000000         R . . . B . .
fts3SetHasStat                               .text  00000000001090C0 000000D8 00000038 00000000         R . . . B . .
fts3BeginMethod                              .text  000000000010919C 0000003C 00000018 00000000         R . . . B . .
fts3CommitMethod                             .text  00000000001091D8 00000024 00000010 00000000         R . . . B . .
fts3RollbackMethod                           .text  00000000001091FC 00000030 00000018 00000000         R . . . B . .
fts3ReversePoslist                           .text  000000000010922C 00000120 00000018 00000000         R . . . B . .
fts3FunctionArg                              .text  000000000010934C 00000090 00000020 00000000         R . . . B . .
fts3SnippetFunc                              .text  00000000001093E4 000001F4 00000048 00000000         R . . . B . .
fts3OffsetsFunc                              .text  00000000001095F4 0000009C 00000020 00000000         R . . . B . .
fts3OptimizeFunc                             .text  0000000000109698 000000E0 00000028 00000000         R . . . B . .
fts3MatchinfoFunc                            .text  0000000000109788 000000AC 00000028 00000000         R . . . B . .
fts3FindFunctionMethod                       .text  000000000010983C 000000E8 00000048 00000004         R . . . B . .
fts3RenameMethod                             .text  000000000010992C 000001A8 00000028 00000000         R . . . B . .
fts3SavepointMethod                          .text  0000000000109AEC 00000048 00000018 00000000         R . . . B . .
fts3ReleaseMethod                            .text  0000000000109B34 00000028 00000010 00000000         R . . . B . .
fts3RollbackToMethod                         .text  0000000000109B5C 00000034 00000018 00000000         R . . . B . .
fts3ShadowName                               .text  0000000000109B90 00000070 00000018 00000000         R . . . B . .
hashDestroy                                  .text  0000000000109C04 00000034 00000018 00000000         R . . . B . .
sqlite3Fts3Init                              .text  0000000000109C38 000002B0 00000030 00000000         R . . . B . .
fts3EvalAllocateReaders                      .text  0000000000109F1C 00000198 00000030 00000004         R . . . B . .
fts3EvalPhraseMergeToken                     .text  000000000010A0B4 000001D8 00000040 00000004         R . . . B . .
fts3EvalPhraseLoad                           .text  000000000010A290 00000130 00000038 00000000         R . . . B . .
fts3EvalDeferredPhrase                       .text  000000000010A3C4 00000374 00000060 00000000         R . . . B . .
fts3EvalPhraseStart                          .text  000000000010A73C 00000258 00000048 00000000         R . . . B . .
sqlite3Fts3DoclistPrev                       .text  000000000010A994 0000029C 00000078 0000000C         R . . . B . .
sqlite3Fts3DoclistNext                       .text  000000000010AC34 00000198 00000050 00000008         R . . . B . .
fts3EvalDlPhraseNext                         .text  000000000010ADD0 000001C4 00000038 00000000         R . . . B . .
incrPhraseTokenNext                          .text  000000000010AF98 0000012C 00000030 00000004         R . . . B . .
fts3EvalIncrPhraseNext                       .text  000000000010B0C4 0000065C 000000E0 00000000         R . . . B . .
fts3EvalPhraseNext                           .text  000000000010B724 00000110 00000040 00000000         R . . . B . .
fts3EvalStartReaders                         .text  000000000010B834 00000188 00000020 00000000         R . . . B . .
fts3EvalTokenCosts                           .text  000000000010B9BC 00000214 00000030 00000008         R . . . B . .
fts3EvalAverageDocsize                       .text  000000000010BBD0 00000224 00000050 00000000         R . . . B . .
