_init_proc                           .init    000000000001B1DC 00000023 0000000C 00000000 R . . . . . .
_wcswidth                            .plt     000000000001BAA0 00000006                   R . . . . . .
_fork                                .plt     000000000001BAB0 00000006                   R . . . . T .
_sigemptyset                         .plt     000000000001BAC0 00000006                   R . . . . T .
_strpbrk                             .plt     000000000001BAD0 00000006                   R . . . . T .
_vfprintf                            .plt     000000000001BAE0 00000006                   R . . . . T .
_wcschr                              .plt     000000000001BAF0 00000006                   R . . . . T .
_freeaddrinfo                        .plt     000000000001BB00 00000006                   R . . . . T .
_setlocale                           .plt     000000000001BB10 00000006                   R . . . . T .
_toupper                             .plt     000000000001BB20 00000006                   R . . . . T .
_strrchr                             .plt     000000000001BB30 00000006                   R . . . . T .
_getgroups                           .plt     000000000001BB40 00000006                   R . . . . T .
_endpwent                            .plt     000000000001BB50 00000006                   R . . . . T .
_mbstowcs                            .plt     000000000001BB60 00000006                   R . . . . T .
_regcomp                             .plt     000000000001BB70 00000006                   R . . . . T .
_setuid                              .plt     000000000001BB80 00000006                   R . . . . T .
_setpgid                             .plt     000000000001BB90 00000006                   R . . . . T .
_strcasestr                          .plt     000000000001BBA0 00000006                   R . . . . . .
_clearerr                            .plt     000000000001BBB0 00000006                   R . . . . T .
_sprintf                             .plt     000000000001BBC0 00000006                   R . . . . T .
_getppid                             .plt     000000000001BBD0 00000006                   R . . . . T .
_vsnprintf                           .plt     000000000001BBE0 00000006                   R . . . . T .
_atoi                                .plt     000000000001BBF0 00000006                   R . . . . T .
_getpeername                         .plt     000000000001BC00 00000006                   R . . . . T .
_sbrk                                .plt     000000000001BC10 00000006                   R . . . . T .
_lseek64                             .plt     000000000001BC20 00000006                   R . . . . . .
_readdir64                           .plt     000000000001BC30 00000006                   R . . . . . .
_qsort                               .plt     000000000001BC40 00000006                   R . . . . T .
_dlopen                              .plt     000000000001BC50 00000006                   R . . . . T .
_socket                              .plt     000000000001BC60 00000006                   R . . . . T .
_getaddrinfo                         .plt     000000000001BC70 00000006                   R . . . . T .
_dgettext                            .plt     000000000001BC80 00000006                   R . . . . T .
_sigaction                           .plt     000000000001BC90 00000006                   R . . . . T .
_bindtextdomain                      .plt     000000000001BCA0 00000006                   R . . . . T .
_strncmp                             .plt     000000000001BCB0 00000006                   R . . . . T .
_getrusage                           .plt     000000000001BCC0 00000006                   R . . . . T .
_isatty                              .plt     000000000001BCD0 00000006                   R . . . . T .
_tcgetattr                           .plt     000000000001BCE0 00000006                   R . . . . T .
_towupper                            .plt     000000000001BCF0 00000006                   R . . . . T .
_abort                               .plt     000000000001BD00 00000006                   . . . . . T .
___xstat64                           .plt     000000000001BD10 00000006                   R . . . . . .
___fpurge                            .plt     000000000001BD20 00000006                   R . . . . T .
_umask                               .plt     000000000001BD30 00000006                   R . . . . T .
_wcsdup                              .plt     000000000001BD40 00000006                   R . . . . . .
_strtol                              .plt     000000000001BD50 00000006                   R . . . . T .
_fputs                               .plt     000000000001BD60 00000006                   R . . . . T .
_connect                             .plt     000000000001BD70 00000006                   R . . . . T .
___lxstat64                          .plt     000000000001BD80 00000006                   R . . . . . .
