_init_proc                           .init    000000000001B1DC 00000023 0000000C 00000000 R . . . . . .
open_helpfile                        .text    00000000000BA6B0 000000A8 0000003C 00000004 R . . . B . .
history_builtin                      .text    00000000000BA760 000005B7 0000009C 00000004 R . . . B . .
push_history                         .text    00000000000BAD20 000000F9 0000003C 00000004 R . . . B . .
expand_and_print_history             .text    00000000000BAE20 00000175 0000004C 00000004 R . . . B . .
display_history                      .text    00000000000BAFA0 000002A0 0000006C 00000004 R . . . B . .
histtime                             .text    00000000000BB240 000000B5 0000003C 00000008 R . . . B . .
jobs_builtin                         .text    00000000000BB300 000003D4 0000017C 00000004 R . . . B . .
execute_list_with_replacements       .text    00000000000BB6E0 000001AA 0000003C 00000004 R . . . B . .
disown_builtin                       .text    00000000000BB890 0000041E 0000018C 00000004 R . . . B . .
kill_builtin                         .text    00000000000BBCB0 000007A9 000001AC 00000004 R . . . B . .
kill_error                           .text    00000000000BC460 0000007B 0000002C 00000008 R . . . B . .
let_builtin                          .text    00000000000BC4E0 0000011E 0000003C 00000004 R . . . B . .
mapfile_builtin                      .text    00000000000BC600 0000060C 000000BC 00000004 R . . . B . .
mapfile                              .text    00000000000BCC10 000003A7 0000008C 00000020 R . . . B . .
do_chop                              .text    00000000000BCFC0 0000005D 0000001C 00000004 R . . . B . .
run_callback                         .text    00000000000BD020 00000137 0000006C 0000000C R . . . B . .
pushd_builtin                        .text    00000000000BD160 0000074C 0000009C 00000004 R . . . B . .
change_to_temp                       .text    00000000000BD8B0 00000079 0000002C 00000004 R . . . B . .
pushd_error                          .text    00000000000BD930 00000080 0000002C 00000008 R . . . B . .
add_dirstack_element                 .text    00000000000BD9B0 00000085 0000001C 00000004 R . . . B . .
dirs_builtin                         .text    00000000000BDA40 000007DA 000000CC 00000004 R . . . B . .
popd_builtin                         .text    00000000000BE220 00000450 0000007C 00000004 R . . . B . .
cd_to_string                         .text    00000000000BE670 00000094 0000002C 00000004 R . . . B . .
get_dirstack_index                   .text    00000000000BE710 00000168 00000044 00000010 R . . . B . .
clear_directory_stack                .text    00000000000BE880 00000087 0000002C 00000000 R . . . B . .
get_dirstack_from_string             .text    00000000000BE910 00000142 0000004C 00000004 R . . . B . .
set_dirstack_element                 .text    00000000000BEA60 00000126 0000004C 00000010 R . . . B . .
get_directory_stack                  .text    00000000000BEB90 000001AD 0000003C 00000004 R . . . B . .
read_builtin                         .text    00000000000BED40 00001E2C 000002EC 00000004 R . . . B . .
sigalrm                              .text    00000000000C0B70 0000003A 0000001C 00000004 . . . . B . .
reset_alarm                          .text    00000000000C0BB0 0000005E 0000002C 00000000 R . . . B . .
reset_attempted_completion_function  .text    00000000000C0C10 00000050 0000000C 00000004 R . . . B . .
set_eol_delim                        .text    00000000000C0C60 000000B6 0000001C 00000004 R . . . B . .
reset_eol_delim                      .text    00000000000C0D20 00000074 0000001C 00000004 R . . . B . .
ttyrestore                           .text    00000000000C0DA0 0000003B 0000001C 00000004 R . . . B . .
edit_line                            .text    00000000000C0DE0 00000143 0000004C 00000008 R . . . B . .
read_mbchar                          .text    00000000000C0F30 000001F4 0000008C 00000014 R . . . B . .
bind_read_variable                   .text    00000000000C1130 000000E1 0000003C 00000008 R . . . B . .
set_itext                            .text    00000000000C1220 000000B2 0000001C 00000000 R . . . B . .
return_builtin                       .text    00000000000C12E0 000000C4 0000002C 00000004 R . . . B . .
set_edit_mode                        .text    00000000000C13B0 0000011C 0000002C 00000008 R . . . B . .
get_edit_mode                        .text    00000000000C14D0 000000A3 00000018 00000004 R . . . B . .
bash_set_history                     .text    00000000000C1580 0000008D 0000001C 00000008 R . . . B . .
set_ignoreeof                        .text    00000000000C1610 000000C3 0000003C 00000008 R . . . B . .
set_posix_mode                       .text    00000000000C16E0 000000A5 0000003C 00000008 R . . . B . .
minus_o_option_value                 .text    00000000000C1790 0000016E 0000003C 00000004 R . . . B . .
list_minus_o_opts                    .text    00000000000C1900 00000198 0000003C 00000008 R . . . B . .
print_minus_o_option                 .text    00000000000C1AA0 000000C2 0000003C 0000000C R . . . B . .
get_minus_o_opts                     .text    00000000000C1B70 0000008E 0000002C 00000000 R . . . B . .
set_minus_o_option                   .text    00000000000C1C00 0000019F 0000003C 00000008 R . . . B . .
set_shellopts                        .text    00000000000C1DA0 00000346 0000006C 00000000 R . . . B . .
parse_shellopts                      .text    00000000000C20F0 0000009C 0000003C 00000004 R . . . B . .
initialize_shell_options             .text    00000000000C2190 00000146 0000003C 00000004 R . . . B . .
reset_shell_options                  .text    00000000000C22E0 00000035 00000004 00000000 R . . . B . .
set_builtin                          .text    00000000000C2320 000003F8 0000007C 00000004 R . . . B . .
print_all_shell_variables            .text    00000000000C2720 000000CC 0000002C 00000000 R . . . B . .
unset_builtin                        .text    00000000000C27F0 00000443 0000006C 00000004 R . . . B . .
export_builtin                       .text    00000000000C2C40 0000004B 0000002C 00000004 R . . . B . .
set_or_show_attributes               .text    00000000000C2C90 000006D9 000000AC 0000000C R . . . B . .
readonly_builtin                     .text    00000000000C3370 0000004B 0000002C 00000004 R . . . B . .
set_var_attribute                    .text    00000000000C33C0 0000030B 0000005C 0000000C R . . . B . .
show_var_attributes                  .text    00000000000C36D0 00000593 0000007C 0000000C R . . . B . .
show_all_var_attributes              .text    00000000000C3C70 0000015D 0000005C 00000008 R . . . B . .
show_name_attributes                 .text    00000000000C3DD0 000000DD 0000004C 00000008 R . . . B . .
shift_builtin                        .text    00000000000C3EB0 00000314 0000008C 00000004 R . . . B . .
source_builtin                       .text    00000000000C41D0 0000058C 0000008C 00000004 R . . . B . .
maybe_pop_dollar_vars                .text    00000000000C4760 00000074 0000000C 00000000 R . . . B . .
suspend_builtin                      .text    00000000000C47E0 0000018C 0000003C 00000004 R . . . B . .
suspend_continue                     .text    00000000000C4970 00000042 0000001C 00000004 R . . . B . .
test_builtin                         .text    00000000000C49C0 000000F1 0000003C 00000004 R . . . B . .
times_builtin                        .text    00000000000C4AC0 000001D3 000000EC 00000004 R . . . B . .
trap_builtin                         .text    00000000000C4CA0 00000537 0000009C 00000004 R . . . B . .
display_traps                        .text    00000000000C51E0 000000EE 0000002C 00000004 R . . . B . .
showtrap                             .text    00000000000C52D0 00000394 0000006C 00000004 R . . . B . .
type_builtin                         .text    00000000000C5670 00000417 0000005C 00000004 R . . . B . .
describe_command                     .text    00000000000C5A90 00000993 000000CC 00000008 R . . . B . .
ulimit_builtin                       .text    00000000000C6430 00000499 0000007C 00000004 R . . . B . .
print_all_limits                     .text    00000000000C68D0 00000147 0000004C 00000004 R . . . B . .
_findlim                             .text    00000000000C6A20 00000081 00000014 00000004 R . . . B . .
ulimit_internal                      .text    00000000000C6AB0 0000044C 0000009C 00000010 R . . . B . .
get_limit                            .text    00000000000C6F00 00000206 0000006C 0000000C R . . . B . .
printone                             .text    00000000000C7110 0000023D 000000AC 00000010 R . . . B . .
set_limit                            .text    00000000000C7350 0000020E 0000007C 00000010 R . . . B . .
filesize                             .text    00000000000C7560 00000031 0000000C 00000004 R . . . B . .
pipesize                             .text    00000000000C75A0 00000020 00000008 00000004 R . . . B . .
getmaxvm                             .text    00000000000C75C0 000000EF 0000005C 00000008 R . . . B . .
getmaxuprc                           .text    00000000000C76B0 0000006A 0000001C 00000004 R . . . B . .
umask_builtin                        .text    00000000000C7720 0000027D 0000005C 00000004 R . . . B . .
symbolic_umask                       .text    00000000000C79A0 0000009F 0000002C 00000004 R . . . B . .
print_symbolic_umask                 .text    00000000000C7A40 0000019A 0000003C 00000004 R . . . B . .
parse_symbolic_mode                  .text    00000000000C7BE0 000003BB 0000008C 00000008 R . . . B . .
wait_builtin                         .text    00000000000C7FA0 000003EB 0000018C 00000004 R . . . B . .
getopts_reset                        .text    00000000000C8390 00000032 00000008 00000004 R . . . B . .
getopts_builtin                      .text    00000000000C83D0 000000ED 0000003C 00000004 R . . . B . .
dogetopts                            .text    00000000000C84C0 0000066D 000000AC 00000008 R . . . B . .
getopts_bind_variable                .text    00000000000C8B30 000000CD 0000002C 00000008 R . . . B . .
shopt_builtin                        .text    00000000000C8C00 000002B6 0000003C 00000004 R . . . B . .
list_shopt_o_options                 .text    00000000000C8EC0 000001C2 0000004C 00000008 R . . . B . .
set_shopt_o_options                  .text    00000000000C9090 0000008E 0000002C 0000000C R . . . B . .
list_some_o_options                  .text    00000000000C9120 00000063 0000002C 00000008 R . . . B . .
toggle_shopts                        .text    00000000000C9190 00000100 0000003C 0000000C R . . . B . .
list_shopts                          .text    00000000000C9290 000001A5 0000003C 00000008 R . . . B . .
list_some_shopts                     .text    00000000000C9440 000000CB 0000003C 00000008 R . . . B . .
reset_shopt_options                  .text    00000000000C9510 00000193 0000004C 00000000 R . . . B . .
set_login_shell                      .text    00000000000C96B0 00000045 00000018 00000008 R . . . B . .
get_shopt_options                    .text    00000000000C9700 000000E9 0000003C 00000000 R . . . B . .
shopt_setopt                         .text    00000000000C97F0 00000086 0000003C 00000008 R . . . B . .
shopt_listopt                        .text    00000000000C9880 000000E5 0000003C 00000008 R . . . B . .
find_shopt                           .text    00000000000C9970 000000B8 0000002C 00000004 R . . . B . .
shopt_error                          .text    00000000000C9A30 00000044 0000001C 00000004 R . . . B . .
print_shopt                          .text    00000000000C9A80 000000C9 0000003C 0000000C R . . . B . .
set_bashopts                         .text    00000000000C9B50 00000277 0000007C 00000000 R . . . B . .
parse_bashopts                       .text    00000000000C9DD0 000000AE 0000003C 00000004 R . . . B . .
initialize_bashopts                  .text    00000000000C9E80 00000146 0000003C 00000004 R . . . B . .
set_compatibility_level              .text    00000000000C9FD0 00000184 00000010 00000008 R . . . B . .
shopt_enable_hostname_completion     .text    00000000000CA160 00000032 0000001C 00000008 R . . . B . .
set_shellopts_after_change           .text    00000000000CA1A0 0000002E 0000001C 00000008 R . . . B . .
set_restricted_shell                 .text    00000000000CA1D0 00000068 0000001C 00000008 R . . . B . .
printf_builtin                       .text    00000000000CA240 0000366C 000003BC 00000004 R . . . B . .
tescape                              .text    00000000000CD8B0 000006BF 000000BC 00000010 R . . . B . .
vbadd                                .text    00000000000CDF70 0000012E 0000003C 00000008 R . . . B . .
getint                               .text    00000000000CE0A0 000000C2 0000002C 00000000 R . . . B . .
bind_printf_variable                 .text    00000000000CE170 0000008C 0000002C 0000000C R . . . B . .
getchr                               .text    00000000000CE200 0000005E 00000010 00000000 R . . . B . .
vbprintf                             .text    00000000000CE260 00000144 0000004C 00000005 R . . . B . .
getstr                               .text    00000000000CE3B0 00000060 00000010 00000000 R . . . B . .
getintmax                            .text    00000000000CE410 00000142 0000003C 00000000 R . . . B . .
printstr                             .text    00000000000CE560 000004E2 0000008C 00000014 R . . . B . .
bexpand                              .text    00000000000CEA50 00000217 0000008C 00000010 R . . . B . .
mklong                               .text    00000000000CEC70 00000135 0000003C 0000000C R . . . B . .
getuintmax                           .text    00000000000CEDB0 00000151 0000003C 00000000 R . . . B . .
getfloatmax                          .text    00000000000CEF10 00000166 0000005C 00000000 R . . . B . .
printf_erange                        .text    00000000000CF080 0000006B 0000002C 00000004 R . . . B . .
asciicode                            .text    00000000000CF0F0 0000012E 0000004C 00000000 R . . . B . .
sh_getopt                            .text    00000000000CF220 00000404 0000005C 0000000C R . . . B . .
sh_getopt_restore_state              .text    00000000000CF630 00000048 0000000C 00000004 R . . . B . .
internal_getopt                      .text    00000000000CF680 000006A3 0000003C 00000008 R . . . B . .
reset_internal_getopt                .text    00000000000CFD30 0000003D 00000004 00000000 R . . . B . .
complete_builtin                     .text    00000000000CFD70 00000770 000000CC 00000004 R . . . B . .
print_all_completions                .text    00000000000D04E0 00000027 00000008 00000000 R . . . B . .
build_actions                        .text    00000000000D0510 00000409 0000004C 00000010 R . . . B . .
print_cmd_completions                .text    00000000000D0920 000000CC 0000002C 00000004 R . . . B . .
remove_cmd_completions               .text    00000000000D09F0 0000009B 0000002C 00000004 R . . . B . .
compgen_builtin                      .text    00000000000D0A90 00000716 000000BC 00000004 R . . . B . .
compopt_builtin                      .text    00000000000D11B0 00000494 0000009C 00000004 R . . . B . .
find_compopt                         .text    00000000000D1650 000000AC 0000002C 00000004 R . . . B . .
print_compopts                       .text    00000000000D1700 000004BA 0000008C 0000000C R . . . B . .
find_compact                         .text    00000000000D1BC0 000000B8 0000002C 00000004 R . . . B . .
print_compitem                       .text    00000000000D1C80 00000045 0000001C 00000004 R . . . B . .
print_one_completion                 .text    00000000000D1CD0 00000B4D 000000EC 00000008 R . . . B . .
glob_pattern_p                       .text    00000000000D2820 000000CF 0000003C 00000004 R . . . B . .
internal_glob_pattern_p              .text    00000000000D28F0 0000016C 0000003C 00000004 R . . . B . .
internal_glob_wpattern_p             .text    00000000000D2A60 00000162 0000003C 00000004 R . . . B . .
glob_vector                          .text    00000000000D2BD0 00000D98 0000014C 0000000C R . . . B . .
glob_testdir                         .text    00000000000D3970 0000007D 0000007C 00000004 R . . . B . .
dequote_pathname                     .text    00000000000D39F0 00000053 0000001C 00000004 R . . . B . .
mbskipname                           .text    00000000000D3A50 000001DF 0000005C 0000000C R . . . B . .
skipname                             .text    00000000000D3C30 00000122 00000020 0000000C R . . . B . .
finddirs                             .text    00000000000D3D60 00000272 0000006C 00000014 R . . . B . .
glob_filename                        .text    00000000000D3FE0 000009FE 000000BC 00000008 R . . . B . .
glob_dir_to_array                    .text    00000000000D49E0 000003F1 000000BC 0000000C R . . . B . .
wdequote_pathname                    .text    00000000000D4DE0 000001B5 0000006C 00000004 R . . . B . .
udequote_pathname                    .text    00000000000D4FA0 000000C5 00000014 00000004 R . . . B . .
strmatch                             .text    00000000000D5070 00000072 0000002C 0000000C R . . . B . .
wcsmatch                             .text    00000000000D50F0 00000072 0000002C 0000000C R . . . B . .
internal_strmatch                    .text    00000000000D5170 000000BA 0000004C 0000000C R . . . B . .
gmatch                               .text    00000000000D5230 00000BFB 000000EC 00000014 R . . . B . .
internal_wstrmatch                   .text    00000000000D5E30 000000BE 0000004C 0000000C R . . . B . .
gmatch_wc                            .text    00000000000D5EF0 00000A1B 000000BC 00000014 R . . . B . .
xstrmatch                            .text    00000000000D6910 00000216 0000006C 0000000C R . . . B . .
extmatch                             .text    00000000000D6B30 000005C7 0000009C 00000018 R . . . B . .
patscan                              .text    00000000000D7100 000002AC 0000004C 0000000C R . . . B . .
brackmatch                           .text    00000000000D73B0 00000B16 000000DC 0000000C R . . . B . .
strcompare                           .text    00000000000D7ED0 0000009D 0000003C 00000010 R . . . B . .
collequiv                            .text    00000000000D7F70 00000044 0000001C 00000008 R . . . B . .
is_cclass                            .text    00000000000D7FC0 00000385 0000007C 00000008 R . . . B . .
parse_collsym                        .text    00000000000D8350 000000BA 0000002C 00000008 R . . . B . .
rangecmp                             .text    00000000000D8410 000000B5 0000002C 00000008 R . . . B . .
collsym                              .text    00000000000D84D0 000000DB 0000003C 00000008 R . . . B . .
extmatch_wc                          .text    00000000000D85B0 000005C7 0000009C 00000018 R . . . B . .
patscan_wc                           .text    00000000000D8B80 0000029A 0000004C 0000000C R . . . B . .
brackmatch_wc                        .text    00000000000D8E20 000008FB 0000009C 0000000C R . . . B . .
wscompare                            .text    00000000000D9720 000000A3 0000003C 00000010 R . . . B . .
collequiv_wc                         .text    00000000000D97D0 0000002C 0000000C 00000008 R . . . B . .
is_wcclass                           .text    00000000000D9800 0000027F 0000006C 00000008 R . . . B . .
parse_collwcsym                      .text    00000000000D9A80 000000B9 0000002C 00000008 R . . . B . .
rangecmp_wc                          .text    00000000000D9B40 00000077 0000002C 00000008 R . . . B . .
collwcsym                            .text    00000000000D9BC0 000000CC 0000002C 00000008 R . . . B . .
xmbsrtowcs                           .text    00000000000D9C90 00000281 0000006C 00000010 R . . . B . .
xdupmbstowcs                         .text    00000000000D9F20 000003CA 0000006C 0000000C R . . . B . .
xdupmbstowcs2                        .text    00000000000DA2F0 00000245 0000008C 00000008 R . . . B . .
match_pattern_wchar                  .text    00000000000DA540 00000190 0000003C 00000008 R . . . B . .
wmatchlen                            .text    00000000000DA6D0 000003AA 0000004C 00000008 R . . . B . .
match_pattern_char                   .text    00000000000DAA80 000001AE 0000003C 00000008 R . . . B . .
umatchlen                            .text    00000000000DAC30 000003EA 0000004C 00000008 R . . . B . .
getenv                               .text    00000000000DB020 00000294 0000004C 00000004 R . . . B . .
_getenv                              .text    00000000000DB2C0 0000002C 0000001C 00000004 R . . . B T .
putenv                               .text    00000000000DB2F0 0000017C 0000004C 00000004 R . . . B . .
setenv                               .text    00000000000DB470 0000011C 0000003C 0000000C R . . . B . .
unsetenv                             .text    00000000000DB590 00000097 0000002C 00000004 R . . . B . .
getmaxgroups                         .text    00000000000DB630 00000083 0000001C 00000000 R . . . B . .
getmaxchild                          .text    00000000000DB6C0 00000066 0000001C 00000000 R . . . B . .
sh_setlinebuf                        .text    00000000000DB730 0000008E 0000003C 00000004 R . . . B . .
inttostr                             .text    00000000000DB7C0 00000063 0000003C 00000010 R . . . B . .
itos                                 .text    00000000000DB830 000000A9 0000005C 00000008 R . . . B . .
uinttostr                            .text    00000000000DB8E0 00000063 0000003C 00000010 R . . . B . .
uitos                                .text    00000000000DB950 000000A9 0000005C 00000008 R . . . B . .
zread                                .text    00000000000DBA00 00000086 0000003C 0000000C R . . . B . .
zreadretry                           .text    00000000000DBA90 000000B2 0000003C 0000000C R . . . B . .
zreadintr                            .text    00000000000DBB50 00000048 0000002C 0000000C R . . . B . .
zreadc                               .text    00000000000DBBA0 000000E8 0000003C 00000008 R . . . B . .
zreadcintr                           .text    00000000000DBC90 000000E8 0000003C 00000008 R . . . B . .
zreset                               .text    00000000000DBD80 00000025 00000004 00000000 R . . . B . .
zsyncfd                              .text    00000000000DBDB0 000000AF 0000004C 00000004 R . . . B . .
ttgetattr                            .text    00000000000DBE60 00000039 0000001C 00000008 R . . . B . .
ttsetattr                            .text    00000000000DBEA0 0000004B 0000002C 00000008 R . . . B . .
ttsave                               .text    00000000000DBEF0 00000084 0000002C 00000000 R . . . B . .
ttrestore                            .text    00000000000DBF80 00000084 0000002C 00000000 R . . . B . .
ttattr                               .text    00000000000DC010 00000079 00000010 00000004 R . . . B . .
tt_setonechar                        .text    00000000000DC090 0000009B 00000008 00000004 R . . . B . .
ttfd_onechar                         .text    00000000000DC130 00000065 0000002C 00000008 R . . . B . .
ttonechar                            .text    00000000000DC1A0 00000089 0000007C 00000000 R . . . B . .
tt_setnoecho                         .text    00000000000DC230 0000001F 00000008 00000004 R . . . B . .
ttfd_noecho                          .text    00000000000DC250 00000065 0000002C 00000008 R . . . B . .
ttnoecho                             .text    00000000000DC2C0 00000089 0000007C 00000000 R . . . B . .
tt_seteightbit                       .text    00000000000DC350 00000038 00000008 00000004 R . . . B . .
ttfd_eightbit                        .text    00000000000DC390 00000065 0000002C 00000008 R . . . B . .
tteightbit                           .text    00000000000DC400 00000089 0000007C 00000000 R . . . B . .
tt_setnocanon                        .text    00000000000DC490 0000001F 00000008 00000004 R . . . B . .
ttfd_nocanon                         .text    00000000000DC4B0 00000065 0000002C 00000008 R . . . B . .
ttnocanon                            .text    00000000000DC520 00000089 0000007C 00000000 R . . . B . .
tt_setcbreak                         .text    00000000000DC5B0 00000058 0000001C 00000004 R . . . B . .
ttfd_cbreak                          .text    00000000000DC610 00000065 0000002C 00000008 R . . . B . .
ttcbreak                             .text    00000000000DC680 00000089 0000007C 00000000 R . . . B . .
sh_regmatch                          .text    00000000000DC710 000002CC 000000AC 0000000C R . . . B . .
sh_stat                              .text    00000000000DC9E0 00000118 0000005C 00000008 R . . . B . .
sh_eaccess                           .text    00000000000DCB00 00000098 0000003C 00000008 R . . . B . .
path_is_devfd                        .text    00000000000DCBA0 000001CD 0000002C 00000004 R . . . B . .
sh_stataccess                        .text    00000000000DCD70 00000122 0000008C 00000008 R . . . B . .
isnetconn                            .text    00000000000DCEA0 000000B2 0000004C 00000004 R . . . B . .
netopen                              .text    00000000000DCF60 00000146 0000004C 00000004 R . . . B . .
_netopen                             .text    00000000000DD0B0 00000048 0000002C 0000000C R . . . B . .
_netopen6                            .text    00000000000DD100 000002B7 0000009C 0000000C R . . . B . .
difftimeval                          .text    00000000000DD3C0 0000008B 00000010 0000000C R . . . B . .
addtimeval                           .text    00000000000DD450 0000006A 00000010 0000000C R . . . B . .
timeval_to_cpu                       .text    00000000000DD4C0 0000016A 0000004C 0000000C R . . . B . .
timeval_to_secs                      .text    00000000000DD630 000000A0 0000001C 0000000C R . . . B . .
print_timeval                        .text    00000000000DD6D0 00000097 0000004C 00000008 R . . . B . .
sh_makepath                          .text    00000000000DD770 000003ED 0000007C 0000000C R . . . B . .
sh_canonpath                         .text    00000000000DDB60 000004D7 0000007C 00000008 R . . . B . .
_path_isdir                          .text    00000000000DE040 0000007B 0000008C 00000004 R . . . B . .
sh_physpath                          .text    00000000000DE0C0 00000872 000020AC 00000008 R . . . B . .
_path_readlink                       .text    00000000000DE940 00000048 0000002C 0000000C R . . . B . .
sh_realpath                          .text    00000000000DE990 0000023E 0000005C 00000008 R . . . B . .
sh_mktmpname                         .text    00000000000DEBD0 00000238 000000CC 00000008 R . . . B . .
get_tmpdir                           .text    00000000000DEE10 000000ED 0000002C 00000004 R . . . B . .
sh_mktmpfd                           .text    00000000000DEF00 0000024B 0000007C 0000000C R . . . B . .
sh_mktmpfp                           .text    00000000000DF150 000000B9 0000003C 0000000C R . . . B . .
get_sys_tmpdir                       .text    00000000000DF210 00000139 0000001C 00000000 R . . . B . .
strlist_create                       .text    00000000000DF350 000000D7 0000003C 00000004 R . . . B . .
strlist_resize                       .text    00000000000DF430 000000BD 0000002C 00000008 R . . . B . .
strlist_flush                        .text    00000000000DF4F0 00000057 0000001C 00000004 R . . . B . .
strlist_dispose                      .text    00000000000DF550 00000079 0000002C 00000004 R . . . B . .
strlist_remove                       .text    00000000000DF5D0 00000090 0000002C 00000008 R . . . B . .
strlist_copy                         .text    00000000000DF660 00000157 0000003C 00000004 R . . . B . .
strlist_merge                        .text    00000000000DF7C0 0000022F 0000005C 00000008 R . . . B . .
strlist_append                       .text    00000000000DF9F0 000001A8 0000005C 00000008 R . . . B . .
strlist_prefix_suffix                .text    00000000000DFBA0 00000370 0000008C 0000000C R . . . B . .
strlist_print                        .text    00000000000DFF10 000000B1 0000003C 00000008 R . . . B . .
strlist_walk                         .text    00000000000DFFD0 00000084 0000001C 00000008 R . . . B . .
strlist_sort                         .text    00000000000E0060 0000005A 0000001C 00000004 R . . . B . .
strlist_from_word_list               .text    00000000000E00C0 00000100 0000004C 00000010 R . . . B . .
strlist_to_word_list                 .text    00000000000E01C0 0000007C 0000003C 0000000C R . . . B . .
strvec_create                        .text    00000000000E0240 0000004B 0000002C 00000004 R . . . B . .
strvec_resize                        .text    00000000000E0290 0000005A 0000002C 00000008 R . . . B . .
strvec_len                           .text    00000000000E02F0 0000003E 0000000C 00000004 R . . . B . .
strvec_flush                         .text    00000000000E0330 0000008A 0000002C 00000004 R . . . B . .
strvec_dispose                       .text    00000000000E03C0 00000069 0000002C 00000004 R . . . B . .
strvec_remove                        .text    00000000000E0430 0000012B 0000003C 00000008 R . . . B . .
strvec_copy                          .text    00000000000E0560 00000104 0000003C 00000004 R . . . B . .
strvec_strcmp                        .text    00000000000E0670 0000003D 0000001C 00000008 R . . . B . .
strvec_sort                          .text    00000000000E06B0 00000065 0000002C 00000004 R . . . B . .
strvec_from_word_list                .text    00000000000E0720 00000178 0000004C 00000010 R . . . B . .
strvec_to_word_list                  .text    00000000000E08A0 00000177 0000004C 0000000C R . . . B . .
spname                               .text    00000000000E0A20 000001FB 0000203C 00000008 R . . . B . .
mindist                              .text    00000000000E0C20 00000141 0000004C 0000000C R . . . B . .
dirspell                             .text    00000000000E0D70 000000CD 0000003C 00000004 R . . . B . .
spdist                               .text    00000000000E0E40 000001AD 0000002C 00000008 R . . . B . .
sh_single_quote                      .text    00000000000E0FF0 00000125 0000004C 00000004 R . . . B . .
sh_double_quote                      .text    00000000000E1120 00000155 0000004C 00000004 R . . . B . .
sh_mkdoublequoted                    .text    00000000000E1280 00000101 0000003C 0000000C R . . . B . .
sh_un_double_quote                   .text    00000000000E1390 0000012E 0000004C 00000004 R . . . B . .
sh_backslash_quote                   .text    00000000000E14C0 0000020F 0000007C 00000004 R . . . B . .
sh_backslash_quote_for_double_quotes .text    00000000000E16D0 0000012C 0000004C 00000004 R . . . B . .
sh_contains_shell_metas              .text    00000000000E1800 000001C8 00000044 00000004 R . . . B . .
ansicstr                             .text    00000000000E19D0 00000A25 000000EC 00000014 R . . . B . .
ansic_quote                          .text    00000000000E2400 00000311 0000008C 0000000C R . . . B . .
ansic_shouldquote                    .text    00000000000E2720 000000AA 0000002C 00000004 R . . . B . .
ansiexpand                           .text    00000000000E27D0 0000014C 0000005C 00000010 R . . . B . .
mailstat                             .text    00000000000E2920 000006C9 0000415C 00000008 R . . . B . .
fmtulong                             .text    00000000000E2FF0 000004F3 0000008C 00000014 R . . . B . .
fmtumax                              .text    00000000000E34F0 00000747 000000CC 00000018 R . . . B . .
zcatfd                               .text    00000000000E3C40 000000DF 000000BC 0000000C R . . . B . .
zmapfd                               .text    00000000000E3D20 00000303 000000EC 0000000C R . . . B . .
get_new_window_size                  .text    00000000000E4030 0000011D 0000004C 0000000C R . . . B . .
fpurge                               .text    00000000000E4150 0000002E 0000001C 00000004 R . . . B . .
zgetline                             .text    00000000000E4180 00000223 0000006C 00000010 R . . . B . .
uconvert                             .text    00000000000E43B0 0000032E 00000034 0000000C R . . . B . .
falarm                               .text    00000000000E46E0 00000095 0000004C 00000008 R . . . B . .
fsleep                               .text    00000000000E4780 00000067 0000003C 00000008 R . . . B . .
sh_modcase                           .text    00000000000E47F0 00000BBD 0000014C 0000000C R . . . B . .
cval                                 .text    00000000000E53B0 0000011E 0000005C 00000008 R . . . B . .
is_basic_5                           .text    00000000000E54D0 00000039 00000006 00000001 R . . . B . .
input_avail                          .text    00000000000E5510 0000018A 0000016C 00000004 R . . . B . .
fnx_tofs                             .text    00000000000E56A0 0000001A 0000000C 00000008 R . . . B . .
fnx_fromfs                           .text    00000000000E56C0 0000001A 0000000C 00000008 R . . . B . .
u32tochar                            .text    00000000000E56E0 00000103 00000018 00000008 R . . . B . .
u32toutf8                            .text    00000000000E57F0 000000EE 00000014 00000008 R . . . B . .
u32cconv                             .text    00000000000E58E0 00000045 0000005C 00000008 R . . . B . .
mbstrlen                             .text    00000000000E5930 0000015B 0000005C 00000004 R . . . B . .
is_basic_6                           .text    00000000000E5A90 00000039 00000006 00000001 R . . . B . .
mbsmbchar                            .text    00000000000E5AD0 0000010C 0000004C 00000004 R . . . B . .
mbschr                               .text    00000000000E5BE0 00000143 0000004C 00000008 R . . . B . .
zwrite                               .text    00000000000E5D30 000000F2 0000003C 0000000C R . . . B . .
rl_set_prompt                        .text    00000000000E5E30 000000FD 0000002C 00000004 R . . . B . .
readline                             .text    00000000000E5F30 000000D9 0000003C 00000004 R . . . B . .
rl_initialize                        .text    00000000000E6010 000000EF 0000002C 00000000 R . . . B . .
readline_internal                    .text    00000000000E6100 0000003C 0000001C 00000000 R . . . B . .
readline_internal_setup              .text    00000000000E6140 000001F5 0000004C 00000000 R . . . B . .
readline_internal_teardown           .text    00000000000E6340 000001EF 0000004C 00000004 R . . . B . .
_rl_internal_char_cleanup            .text    00000000000E6530 00000150 0000002C 00000000 R . . . B . .
readline_internal_char               .text    00000000000E6680 00000268 0000003C 00000000 R . . . B . .
_rl_dispatch                         .text    00000000000E68F0 00000055 0000002C 00000008 R . . . B . .
_rl_init_line_state                  .text    00000000000E6950 00000050 0000000C 00000000 R . . . B . .
_rl_set_the_line                     .text    00000000000E69A0 0000001F 00000004 00000000 R . . . B . .
