_init_proc                           .init    000000000001D6DC 00000023 0000000C 00000000 R . . . . . .
_regcomp                             .plt     000000000001E0D0 00000006                   R . . . . T .
_setuid                              .plt     000000000001E0E0 00000006                   R . . . . T .
_setpgid                             .plt     000000000001E0F0 00000006                   R . . . . T .
_strcasestr                          .plt     000000000001E100 00000006                   R . . . . . .
_clearerr                            .plt     000000000001E110 00000006                   R . . . . T .
_sprintf                             .plt     000000000001E120 00000006                   R . . . . T .
_getppid                             .plt     000000000001E130 00000006                   R . . . . T .
_vsnprintf                           .plt     000000000001E140 00000006                   R . . . . T .
_atoi                                .plt     000000000001E150 00000006                   R . . . . T .
_getpeername                         .plt     000000000001E160 00000006                   R . . . . T .
_sbrk                                .plt     000000000001E170 00000006                   R . . . . T .
_lseek64                             .plt     000000000001E180 00000006                   R . . . . . .
_readdir64                           .plt     000000000001E190 00000006                   R . . . . . .
_qsort                               .plt     000000000001E1A0 00000006                   R . . . . T .
_dlopen                              .plt     000000000001E1B0 00000006                   R . . . . T .
_socket                              .plt     000000000001E1C0 00000006                   R . . . . T .
_getaddrinfo                         .plt     000000000001E1D0 00000006                   R . . . . T .
_dgettext                            .plt     000000000001E1E0 00000006                   R . . . . T .
_sigaction                           .plt     000000000001E1F0 00000006                   R . . . . T .
_bindtextdomain                      .plt     000000000001E200 00000006                   R . . . . T .
_strncmp                             .plt     000000000001E210 00000006                   R . . . . T .
_getrusage                           .plt     000000000001E220 00000006                   R . . . . T .
_isatty                              .plt     000000000001E230 00000006                   R . . . . T .
_tcgetattr                           .plt     000000000001E240 00000006                   R . . . . T .
_towupper                            .plt     000000000001E250 00000006                   R . . . . T .
_abort                               .plt     000000000001E260 00000006                   . . . . . T .
___xstat64                           .plt     000000000001E270 00000006                   R . . . . . .
___fpurge                            .plt     000000000001E280 00000006                   R . . . . T .
_random                              .plt     000000000001E290 00000006                   R . . . . T .
_umask                               .plt     000000000001E2A0 00000006                   R . . . . T .
_iconv_open                          .plt     000000000001E2B0 00000006                   R . . . . T .
_wcsdup                              .plt     000000000001E2C0 00000006                   R . . . . . .
_strtol                              .plt     000000000001E2D0 00000006                   R . . . . T .
_fputs                               .plt     000000000001E2E0 00000006                   R . . . . T .
_connect                             .plt     000000000001E2F0 00000006                   R . . . . T .
___lxstat64                          .plt     000000000001E300 00000006                   R . . . . . .
_ngettext                            .plt     000000000001E310 00000006                   R . . . . T .
_closedir                            .plt     000000000001E320 00000006                   R . . . . T .
_siglongjmp                          .plt     000000000001E330 00000006                   . . . . . T .
_opendir                             .plt     000000000001E340 00000006                   R . . . . T .
___ctype_b_loc                       .plt     000000000001E350 00000006                   R . . . . T .
_mbtowc                              .plt     000000000001E360 00000006                   R . . . . T .
_endservent                          .plt     000000000001E370 00000006                   R . . . . T .
sub_1E380                            .plt.got 000000000001E380 00000006                   R . . . . . .
sub_1E388                            .plt.got 000000000001E388 00000006                   R . . . . . .
sub_1E390                            .plt.got 000000000001E390 00000006                   R . . . . . .
sub_1E398                            .plt.got 000000000001E398 00000006                   R . . . . . .
_start                               .text    000000000001E3A0 00000032                   . . . . . . .
sub_1E3D2                            .text    000000000001E3D2 00000004 00000000 00000000 R . . . . . .
__x86_get_pc_thunk_bx                .text    000000000001E3E0 00000004 00000000 00000000 R . . . . . .
deregister_tm_clones                 .text    000000000001E3F0 00000037                   R . . . . . .
register_tm_clones                   .text    000000000001E430 00000047                   R . . . . . .
__do_global_dtors_aux                .text    000000000001E480 00000047 00000008 00000000 R . . . B . .
frame_dummy                          .text    000000000001E4D0 0000003C                   R . . . . . .
__x86_get_pc_thunk_dx                .text    000000000001E50C 00000004 00000000 00000000 R . . . . . .
main                                 .text    000000000001E510 00000E91 0000010C 0000000C . . . . B . .
uidget                               .text    000000000001F3B0 000001B5 0000003C 00000000 R . . . B . .
shell_reinitialize                   .text    000000000001F570 000001B8 0000004C 00000000 R . . . B . .
set_shell_name                       .text    000000000001F730 000002AB 0000004C 00000004 R . . . B . .
parse_long_options                   .text    000000000001F9E0 000002A9 0000004C 0000000C R . . . B . .
show_shell_usage                     .text    000000000001FC90 00000441 0000009C 00000008 R . . . B . .
parse_shell_options                  .text    00000000000200E0 00000373 0000007C 0000000C R . . . B . .
disable_priv_mode                    .text    0000000000020460 0000005E 0000001C 00000000 R . . . B . .
init_interactive                     .text    00000000000204C0 00000043 00000008 00000000 R . . . B . .
init_noninteractive                  .text    0000000000020510 000000C4 0000002C 00000000 R . . . B . .
run_shopt_alist                      .text    00000000000205E0 000000EC 0000002C 00000000 R . . . B . .
shell_initialize                     .text    00000000000206D0 0000033A 0000014C 00000000 R . . . B . .
exit_shell                           .text    0000000000020A10 00000104 0000002C 00000004 . . . . B . .
shell_is_restricted                  .text    0000000000020B20 000000B8 0000002C 00000004 R . . . B . .
run_startup_files                    .text    0000000000020BE0 00000577 0000007C 00000000 R . . . B . .
maybe_make_restricted                .text    0000000000021160 000000FF 0000002C 00000004 R . . . B . .
bind_args                            .text    0000000000021260 00000262 0000006C 00000010 R . . . B . .
start_debugger                       .text    00000000000214D0 00000070 0000002C 00000000 R . . . B . .
run_one_command                      .text    0000000000021540 000001A5 0000005C 00000004 R . . . B . .
open_shell_script                    .text    00000000000216F0 00000937 000001AC 00000004 R . . . B . .
set_bash_input                       .text    0000000000022030 000000F8 0000001C 00000000 R . . . B . .
sh_exit                              .text    0000000000022130 00000026 0000001C 00000004 . . . . B . .
subshell_exit                        .text    0000000000022160 0000007F 0000002C 00000004 . . . . B . .
unbind_args                          .text    00000000000221E0 00000047 0000001C 00000000 R . . . B . .
unset_bash_input                     .text    0000000000022230 00000094 0000001C 00000004 R . . . B . .
get_current_user_info                .text    00000000000222D0 0000034E 0000008C 00000000 R . . . B . .
add_shopt_to_alist                   .text    0000000000022620 000000C7 0000003C 00000008 R . . . B . .
execute_env_file                     .text    00000000000226F0 000000DB 0000003C 00000004 R . . . B . .
init_interactive_script              .text    00000000000227D0 00000048 0000000C 00000000 R . . . B . .
reader_loop                          .text    0000000000022820 00000415 0000006C 00000000 R . . . B . .
read_command                         .text    0000000000022C40 000001BC 0000004C 00000000 R . . . B . .
parse_command                        .text    0000000000022E00 000000E2 0000001C 00000000 R . . . B . .
send_pwd_to_eterm                    .text    0000000000022EF0 000000AE 0000002C 00000000 R . . . B . .
alrm_catcher                         .text    0000000000022FA0 00000071 0000002C 00000004 . . . . B . .
yyparse                              .text    0000000000023020 00003FE9 00000AFC 00000000 R . . . B . .
yylex                                .text    0000000000027010 000001BC 0000001C 00000000 R . . . B . .
