_init_proc                           .init    000000000001D6DC 00000023 0000000C 00000000 R . . . . . .
vi_edit_and_execute_command          .text    00000000000A4950 000000A5 0000003C 00000008 R . . . B . .
posix_edit_macros                    .text    00000000000A4A00 000000D2 0000004C 00000008 R . . . B . .
bash_vi_complete                     .text    00000000000A4AE0 000002D1 0000005C 00000008 R . . . B . .
set_filename_bstab                   .text    00000000000A4DC0 000000A8 0000003C 00000004 R . . . B . .
bash_quote_filename                  .text    00000000000A4E70 0000041F 0000008C 0000000C R . . . B . .
bash_dequote_filename                .text    00000000000A5290 000001E7 0000004C 00000008 R . . . B . .
bashline_reinitialize                .text    00000000000A5480 0000001D 00000004 00000000 R . . . B . .
bashline_set_event_hook              .text    00000000000A54A0 0000001F 00000004 00000000 R . . . B . .
bash_event_hook                      .text    00000000000A54C0 00000045 0000000C 00000000 R . . . B . .
bashline_reset_event_hook            .text    00000000000A5510 0000001D 00000004 00000000 R . . . B . .
bashline_reset                       .text    00000000000A5530 0000008F 0000001C 00000000 R . . . B . .
bash_re_edit                         .text    00000000000A55C0 000000EF 0000003C 00000004 R . . . B . .
bash_push_line                       .text    00000000000A56B0 0000008B 0000002C 00000000 R . . . B . .
get_hostname_list                    .text    00000000000A5740 0000003A 0000000C 00000000 R . . . B . .
initialize_hostname_list             .text    00000000000A5780 00000093 0000001C 00000000 R . . . B . .
clear_hostname_list                  .text    00000000000A5820 000000A7 0000002C 00000000 R . . . B . .
bash_default_completion              .text    00000000000A58D0 0000053D 0000005C 00000014 R . . . B . .
command_subst_completion_function    .text    00000000000A5E10 00000505 0000005C 00000008 R . . . B . .
variable_completion_function         .text    00000000000A6320 000002CE 0000004C 00000008 R . . . B . .
hostname_completion_function         .text    00000000000A65F0 000001C2 0000004C 00000008 R . . . B . .
bash_ignore_everything               .text    00000000000A67C0 00000038 0000001C 00000004 R . . . B . .
command_word_completion_function     .text    00000000000A6800 00001766 0000014C 00000008 R . . . B . .
bash_ignore_filenames                .text    00000000000A7F70 00000038 0000001C 00000004 R . . . B . .
test_for_directory                   .text    00000000000A7FB0 0000007D 0000002C 00000004 R . . . B . .
glob_complete_word                   .text    00000000000A8030 00000370 0000006C 00000008 R . . . B . .
bash_command_name_stat_hook          .text    00000000000A83A0 0000009E 0000002C 00000004 R . . . B . .
maybe_restore_tilde                  .text    00000000000A8440 0000008C 0000002C 00000008 R . . . B . .
executable_completion                .text    00000000000A84D0 000000F8 0000004C 00000008 R . . . B . .
bash_servicename_completion_function .text    00000000000A85D0 0000036D 0000006C 00000008 R . . . B . .
bash_groupname_completion_function   .text    00000000000A8940 0000022E 0000004C 00000008 R . . . B . .
bash_directory_completion_hook       .text    00000000000A8B70 00000A74 0000013C 00000004 R . . . B . .
print_unix_command_map               .text    00000000000A95F0 00000060 0000001C 00000000 R . . . B . .
bind_keyseq_to_unix_command          .text    00000000000A9650 000002A9 0000006C 00000004 R . . . B . .
init_unix_command_map                .text    00000000000A9900 0000002A 0000000C 00000000 R . . . B . .
isolate_sequence                     .text    00000000000A9930 00000242 0000005C 00000010 R . . . B . .
bash_execute_unix_command            .text    00000000000A9B80 000004A6 000000FC 00000008 R . . . B . .
bash_directory_completion_matches    .text    00000000000AA030 000000EE 0000003C 00000004 R . . . B . .
bash_dequote_text                    .text    00000000000AA120 00000079 0000002C 00000004 R . . . B . .
snarf_hosts_from_file                .text    00000000000AA1A0 00000730 0000025C 00000004 R . . . B . .
add_host_name                        .text    00000000000AA8D0 0000010F 0000003C 00000004 R . . . B . .
set_saved_history                    .text    00000000000AA9E0 000000EE 0000002C 00000000 R . . . B . .
edit_and_execute_command             .text    00000000000AAAD0 00000372 000000CC 00000010 R . . . B . .
is_basic_4                           .text    00000000000AAE50 00000039 00000006 00000001 R . . . B . .
check_redir                          .text    00000000000AAE90 000000E8 0000002C 00000004 R . . . B . .
find_cmd_start                       .text    00000000000AAF80 000000B0 0000003C 00000004 R . . . B . .
find_cmd_end                         .text    00000000000AB030 0000005C 0000002C 00000004 R . . . B . .
find_cmd_name                        .text    00000000000AB090 0000011C 0000004C 0000000C R . . . B . .
prog_complete_return                 .text    00000000000AB1B0 00000095 00000014 00000008 R . . . B . .
hostnames_matching                   .text    00000000000AB250 00000239 0000004C 00000004 R . . . B . .
set_up_new_line                      .text    00000000000AB490 00000128 0000003C 00000004 R . . . B . .
cleanup_expansion_error              .text    00000000000AB5C0 0000011A 0000004C 00000000 R . . . B . .
maybe_make_readline_line             .text    00000000000AB6E0 0000011E 0000004C 00000004 R . . . B . .
history_expand_line_internal         .text    00000000000AB800 000000D8 0000003C 00000004 R . . . B . .
_ignore_completion_names             .text    00000000000AB8E0 00000418 0000006C 00000008 R . . . B . .
name_is_acceptable                   .text    00000000000ABD00 000000D9 0000002C 00000004 R . . . B . .
return_zero                          .text    00000000000ABDE0 00000013 00000008 00000004 R . . . B . .
save_directory_hook                  .text    00000000000ABE00 00000059 0000000C 00000000 R . . . B . .
restore_tilde                        .text    00000000000ABE60 000001A2 0000006C 00000008 R . . . B . .
restore_directory_hook               .text    00000000000AC010 00000050 0000000C 00000004 R . . . B . .
bash_directory_expansion             .text    00000000000AC060 000001E7 0000004C 00000004 R . . . B . .
history_completion_generator         .text    00000000000AC250 0000019E 0000003C 00000008 R . . . B . .
build_history_completion_array       .text    00000000000AC3F0 00000216 0000004C 00000000 R . . . B . .
bash_complete_username_internal      .text    00000000000AC610 00000036 0000001C 00000004 R . . . B . .
bash_specific_completion             .text    00000000000AC650 00000094 0000003C 00000008 R . . . B . .
bash_complete_filename_internal      .text    00000000000AC6F0 00000103 0000004C 00000004 R . . . B . .
bash_complete_hostname_internal      .text    00000000000AC800 00000036 0000001C 00000004 R . . . B . .
bash_complete_variable_internal      .text    00000000000AC840 00000036 0000001C 00000004 R . . . B . .
bash_complete_command_internal       .text    00000000000AC880 00000036 0000001C 00000004 R . . . B . .
bash_glob_quote_filename             .text    00000000000AC8C0 00000110 0000003C 0000000C R . . . B . .
bash_glob_completion_internal        .text    00000000000AC9D0 00000036 0000001C 00000004 R . . . B . .
quote_word_break_chars               .text    00000000000ACA10 00000176 0000003C 00000004 R . . . B . .
putx                                 .text    00000000000ACB90 0000003E 0000001C 00000004 R . . . B . .
list_reverse                         .text    00000000000ACBD0 00000046 00000010 00000004 R . . . B . .
list_length                          .text    00000000000ACC20 00000040 0000000C 00000004 R . . . B . .
list_append                          .text    00000000000ACC60 00000061 00000014 00000008 R . . . B . .
find_string_in_alist                 .text    00000000000ACCD0 0000011F 0000003C 0000000C R . . . B . .
find_token_in_alist                  .text    00000000000ACDF0 000000DE 0000003C 0000000C R . . . B . .
find_index_in_alist                  .text    00000000000ACED0 00000118 0000003C 0000000C R . . . B . .
substring                            .text    00000000000ACFF0 00000094 0000003C 0000000C R . . . B . .
strsub                               .text    00000000000AD090 000002ED 0000006C 00000010 R . . . B . .
strcreplace                          .text    00000000000AD380 0000042F 0000009C 00000010 R . . . B . .
strip_trailing                       .text    00000000000AD7B0 00000097 00000010 0000000C R . . . B . .
xbcopy                               .text    00000000000AD850 00000048 0000002C 0000000C R . . . B . .
set_default_locale                   .text    00000000000AD8A0 00000101 0000003C 00000000 R . . . B . .
set_default_locale_vars              .text    00000000000AD9B0 00000481 0000006C 00000000 R . . . B . .
locale_setblanks                     .text    00000000000ADE40 00000116 0000002C 00000000 R . . . B . .
set_locale_var                       .text    00000000000ADF60 00000865 000000AC 00000008 R . . . B . .
reset_locale_vars                    .text    00000000000AE7D0 000001C9 0000003C 00000000 R . . . B . .
get_locale_var                       .text    00000000000AE9A0 000000A2 0000001C 00000004 R . . . B . .
set_lang                             .text    00000000000AEA50 0000015E 0000004C 00000008 R . . . B . .
set_default_lang                     .text    00000000000AEBB0 0000007F 0000002C 00000000 R . . . B . .
localetrans                          .text    00000000000AEC30 00000290 0000005C 0000000C R . . . B . .
mk_msgstr                            .text    00000000000AEEC0 0000020F 0000004C 00000008 R . . . B . .
localeexpand                         .text    00000000000AF0D0 00000248 0000007C 00000014 R . . . B . .
file_status                          .text    00000000000AF320 000000E0 0000008C 00000004 R . . . B . .
executable_file                      .text    00000000000AF400 0000007C 0000001C 00000004 R . . . B . .
is_directory                         .text    00000000000AF480 0000002F 0000001C 00000004 R . . . B . .
executable_or_directory              .text    00000000000AF4B0 0000005A 0000001C 00000004 R . . . B . .
find_user_command                    .text    00000000000AF510 0000003C 0000001C 00000004 R . . . B . .
find_user_command_internal           .text    00000000000AF550 00000039 0000001C 00000008 R . . . B . .
find_path_file                       .text    00000000000AF590 0000003C 0000001C 00000004 R . . . B . .
search_for_command                   .text    00000000000AF5D0 000002A0 0000005C 00000008 R . . . B . .
find_user_command_in_path            .text    00000000000AF870 000003E1 000000CC 0000000C R . . . B . .
user_command_matches                 .text    00000000000AFC60 000003FC 000000CC 0000000C R . . . B . .
find_absolute_program                .text    00000000000B0060 000000E7 0000003C 00000008 R . . . B . .
get_next_path_element                .text    00000000000B0150 000000E5 0000003C 00000008 R . . . B . .
find_in_path_element                 .text    00000000000B0240 00000368 0000007C 00000014 R . . . B . .
_find_user_command_internal          .text    00000000000B05B0 000000F7 0000004C 00000008 R . . . B . .
redirection_error                    .text    00000000000B06B0 000004A6 0000006C 00000008 R . . . B . .
expandable_redirection_filename      .text    00000000000B0B60 0000006E 0000001C 00000004 R . . . B . .
redirection_expand                   .text    00000000000B0BD0 0000014D 0000003C 00000004 R . . . B . .
do_redirections                      .text    00000000000B0D20 000000FA 0000002C 00000008 R . . . B . .
do_redirection_internal              .text    00000000000B0E20 0000199C 000001DC 00000008 R . . . B . .
stdin_redirects                      .text    00000000000B27C0 00000081 0000002C 00000004 R . . . B . .
stdin_redirection                    .text    00000000000B2850 00000168 00000048 00000008 R . . . B . .
redir_open                           .text    00000000000B29C0 000001ED 0000005C 00000010 R . . . B . .
add_undo_redirect                    .text    00000000000B2BB0 00000419 000000AC 0000000C R . . . B . .
add_undo_close_redirect              .text    00000000000B2FD0 00000096 0000003C 00000004 R . . . B . .
redir_varassign                      .text    00000000000B3070 000000A9 0000003C 00000008 R . . . B . .
here_document_to_fd                  .text    00000000000B3120 000002F0 0000008C 00000008 R . . . B . .
redir_varvalue                       .text    00000000000B3410 00000175 0000004C 00000004 R . . . B . .
redir_special_open                   .text    00000000000B3590 00000070 0000003C 00000014 R . . . B . .
noclobber_open                       .text    00000000000B3600 0000024E 0000010C 00000010 R . . . B . .
add_exec_redirect                    .text    00000000000B3850 0000002D 00000008 00000004 R . . . B . .
write_here_document                  .text    00000000000B3880 0000032A 0000006C 00000008 R . . . B . .
write_here_string                    .text    00000000000B3BB0 0000020D 0000005C 00000008 R . . . B . .
it_init_aliases                      .text    00000000000B3DC0 0000019D 0000004C 00000004 R . . . B . .
it_init_arrayvars                    .text    00000000000B3F60 0000003B 0000001C 00000004 R . . . B . .
it_init_bindings                     .text    00000000000B3FA0 00000082 0000002C 00000004 R . . . B . .
it_init_builtins                     .text    00000000000B4030 000000D9 0000002C 00000004 R . . . B . .
it_init_disabled                     .text    00000000000B4110 000000F9 0000002C 00000004 R . . . B . .
it_init_enabled                      .text    00000000000B4210 000000F9 0000002C 00000004 R . . . B . .
it_init_exported                     .text    00000000000B4310 00000038 0000001C 00000004 R . . . B . .
it_init_functions                    .text    00000000000B4350 00000038 0000001C 00000004 R . . . B . .
it_init_helptopics                   .text    00000000000B4390 000000B9 0000002C 00000004 R . . . B . .
it_init_hostnames                    .text    00000000000B4450 0000009F 0000002C 00000004 R . . . B . .
it_init_jobs                         .text    00000000000B44F0 0000003C 0000001C 00000004 R . . . B . .
it_init_keywords                     .text    00000000000B4530 000000CA 0000002C 00000004 R . . . B . .
it_init_running                      .text    00000000000B4600 00000039 0000001C 00000004 R . . . B . .
it_init_setopts                      .text    00000000000B4640 00000072 0000001C 00000004 R . . . B . .
it_init_shopts                       .text    00000000000B46C0 00000072 0000001C 00000004 R . . . B . .
it_init_signals                      .text    00000000000B4740 00000072 0000001C 00000004 R . . . B . .
it_init_stopped                      .text    00000000000B47C0 0000003C 0000001C 00000004 R . . . B . .
it_init_variables                    .text    00000000000B4800 00000038 0000001C 00000004 R . . . B . .
set_itemlist_dirty                   .text    00000000000B4840 00000019 00000008 00000004 R . . . B . .
initialize_itemlist                  .text    00000000000B4860 00000046 0000001C 00000004 R . . . B . .
clean_itemlist                       .text    00000000000B48B0 000000D3 0000002C 00000004 R . . . B . .
filter_stringlist                    .text    00000000000B4990 00000221 0000005C 0000000C R . . . B . .
shouldexp_filterpat                  .text    00000000000B4BC0 000000A1 00000014 00000004 R . . . B . .
preproc_filterpat                    .text    00000000000B4C70 00000063 0000003C 00000008 R . . . B . .
completions_to_stringlist            .text    00000000000B4CE0 00000210 0000005C 00000004 R . . . B . .
gen_compspec_completions             .text    00000000000B4EF0 00000665 000000AC 00000018 R . . . B . .
gen_action_completions               .text    00000000000B5560 00000AFF 0000003C 00000008 R . . . B . .
gen_globpat_matches                  .text    00000000000B6060 000000AB 0000002C 00000008 R . . . B . .
gen_wordlist_matches                 .text    00000000000B6110 0000033D 0000007C 00000008 R . . . B . .
command_line_to_word_list            .text    00000000000B6450 00000093 0000005C 00000014 R . . . B . .
gen_shell_function_matches           .text    00000000000B64F0 000003EE 000000EC 00000024 R . . . B . .
gen_command_matches                  .text    00000000000B68E0 0000065D 000000DC 00000020 R . . . B . .
pcomp_set_readline_variables         .text    00000000000B6F40 00000082 00000010 00000008 R . . . B . .
pcomp_set_compspec_options           .text    00000000000B6FD0 0000007E 00000018 0000000C R . . . B . .
programmable_completions             .text    00000000000B7050 0000025C 0000008C 00000014 R . . . B . .
gen_progcomp_completions             .text    00000000000B72B0 000001B6 0000006C 00000020 R . . . B . .
init_itemlist_from_varlist           .text    00000000000B7470 00000136 0000004C 00000008 R . . . B . .
it_init_joblist                      .text    00000000000B75B0 000001AB 0000005C 00000008 R . . . B . .
gen_matches_from_itemlist            .text    00000000000B7760 000002FC 0000006C 00000008 R . . . B . .
pcomp_filename_completion_function   .text    00000000000B7A60 0000018B 0000004C 00000008 R . . . B . .
bind_compfunc_variables              .text    00000000000B7BF0 00000373 0000007C 00000014 R . . . B . .
build_arg_list                       .text    00000000000B7F70 000001A9 0000005C 00000014 R . . . B . .
unbind_compfunc_variables            .text    00000000000B8120 000000BC 0000002C 00000004 R . . . B . .
bind_comp_words                      .text    00000000000B81E0 000000CD 0000002C 00000004 R . . . B . .
compspec_create                      .text    00000000000B82B0 000000BE 0000002C 00000000 R . . . B . .
compspec_dispose                     .text    00000000000B8370 00000284 0000004C 00000004 R . . . B . .
compspec_copy                        .text    00000000000B8600 0000047C 0000009C 00000004 R . . . B . .
progcomp_create                      .text    00000000000B8A80 0000004D 0000001C 00000000 R . . . B . .
progcomp_size                        .text    00000000000B8AD0 0000004C 0000000C 00000000 R . . . B . .
progcomp_flush                       .text    00000000000B8B20 0000004A 0000001C 00000000 R . . . B . .
free_progcomp                        .text    00000000000B8B70 00000032 0000001C 00000004 R . . . B . .
progcomp_dispose                     .text    00000000000B8BB0 0000004F 0000001C 00000000 R . . . B . .
progcomp_remove                      .text    00000000000B8C00 00000100 0000003C 00000004 R . . . B . .
progcomp_insert                      .text    00000000000B8D00 00000133 0000003C 00000008 R . . . B . .
progcomp_search                      .text    00000000000B8E40 00000093 0000003C 00000004 R . . . B . .
progcomp_walk                        .text    00000000000B8EE0 0000009A 0000001C 00000004 R . . . B . .
xmalloc_1                            .text    00000000000B8F80 0000009B 0000002C 00000004 R . . . B . .
allocerr                             .text    00000000000B9020 00000066 0000002C 00000008 . . . . B . .
xrealloc_1                           .text    00000000000B9090 000000CE 0000002C 00000008 R . . . B . .
xfree                                .text    00000000000B9160 0000003A 0000001C 00000004 R . . . B . .
sh_xmalloc                           .text    00000000000B91A0 000000C7 0000003C 0000000C R . . . B . .
sh_allocerr                          .text    00000000000B9270 00000084 0000003C 00000010 . . . . B . .
sh_xrealloc                          .text    00000000000B9300 00000108 0000004C 00000010 R . . . B . .
sh_xfree                             .text    00000000000B9410 00000056 0000002C 0000000C R . . . B . .
findbrk                              .text    00000000000B9470 00000081 0000001C 00000000 R . . . B . .
alias_builtin                        .text    00000000000B9500 00000331 0000005C 00000004 R . . . B . .
print_alias                          .text    00000000000B9840 000000CA 0000003C 00000008 R . . . B . .
unalias_builtin                      .text    00000000000B9910 0000015F 0000003C 00000004 R . . . B . .
bind_builtin                         .text    00000000000B9A70 00000737 000000BC 00000004 R . . . B . .
query_bindings                       .text    00000000000BA1B0 000001AE 0000004C 00000004 R . . . B . .
unbind_command                       .text    00000000000BA360 0000009A 0000002C 00000004 R . . . B . .
break_builtin                        .text    00000000000BA400 00000126 0000004C 00000004 R . . . B . .
check_loop_level                     .text    00000000000BA530 00000066 0000001C 00000000 R . . . B . .
continue_builtin                     .text    00000000000BA5A0 00000126 0000004C 00000004 R . . . B . .
builtin_builtin                      .text    00000000000BA6D0 000000D1 0000002C 00000004 R . . . B . .
caller_builtin                       .text    00000000000BA7B0 0000039A 0000007C 00000004 R . . . B . .
cd_builtin                           .text    00000000000BAB50 000006D7 0000009C 00000004 R . . . B . .
change_to_directory                  .text    00000000000BB230 00000489 0000008C 0000000C R . . . B . .
bindpwd                              .text    00000000000BB6C0 00000214 0000005C 00000004 R . . . B . .
pwd_builtin                          .text    00000000000BB8E0 000002E5 0000005C 00000004 R . . . B . .
resetpwd                             .text    00000000000BBBD0 0000008C 0000002C 00000004 R . . . B . .
setpwd                               .text    00000000000BBC60 00000148 0000003C 00000004 R . . . B . .
resetxattr                           .text    00000000000BBDB0 0000001B 00000004 00000000 R . . . B . .
colon_builtin                        .text    00000000000BBDD0 00000013 00000008 00000004 R . . . B . .
false_builtin                        .text    00000000000BBDF0 00000016 00000008 00000004 R . . . B . .
command_builtin                      .text    00000000000BBE10 000003C6 0000007C 00000004 R . . . B . .
restore_path                         .text    00000000000BC1E0 000000B0 0000003C 00000004 R . . . B . .
get_standard_path                    .text    00000000000BC290 00000104 0000004C 00000000 R . . . B . .
builtin_error                        .text    00000000000BC3A0 00000077 0000003C 00000005 R . . . B . .
builtin_warning                      .text    00000000000BC420 000000A6 0000003C 00000005 R . . . B . .
builtin_usage                        .text    00000000000BC4D0 000000DF 0000002C 00000000 R . . . B . .
no_args                              .text    00000000000BC5B0 00000069 0000001C 00000004 R . . . B . .
no_options                           .text    00000000000BC620 0000006A 0000001C 00000004 R . . . B . .
sh_needarg                           .text    00000000000BC690 00000044 0000001C 00000004 R . . . B . .
sh_neednumarg                        .text    00000000000BC6E0 00000044 0000001C 00000004 R . . . B . .
sh_notfound                          .text    00000000000BC730 00000044 0000001C 00000004 R . . . B . .
sh_invalidopt                        .text    00000000000BC780 00000044 0000001C 00000004 R . . . B . .
sh_invalidoptname                    .text    00000000000BC7D0 00000044 0000001C 00000004 R . . . B . .
sh_invalidid                         .text    00000000000BC820 00000044 0000001C 00000004 R . . . B . .
sh_invalidnum                        .text    00000000000BC870 000000ED 0000002C 00000004 R . . . B . .
sh_invalidsig                        .text    00000000000BC960 00000044 0000001C 00000004 R . . . B . .
sh_badpid                            .text    00000000000BC9B0 00000044 0000001C 00000004 R . . . B . .
sh_readonly                          .text    00000000000BCA00 00000044 0000001C 00000004 R . . . B . .
sh_erange                            .text    00000000000BCA50 000000F0 0000003C 00000008 R . . . B . .
sh_badjob                            .text    00000000000BCB40 00000044 0000001C 00000004 R . . . B . .
sh_nojobs                            .text    00000000000BCB90 00000074 0000001C 00000004 R . . . B . .
sh_restricted                        .text    00000000000BCC10 00000074 0000001C 00000004 R . . . B . .
sh_notbuiltin                        .text    00000000000BCC90 00000044 0000001C 00000004 R . . . B . .
sh_wrerror                           .text    00000000000BCCE0 00000056 0000001C 00000000 R . . . B . .
sh_ttyerror                          .text    00000000000BCD40 000000AB 0000002C 00000004 R . . . B . .
sh_chkwrite                          .text    00000000000BCDF0 0000009B 0000002C 00000004 R . . . B . .
make_builtin_argv                    .text    00000000000BCE90 00000073 0000003C 00000008 R . . . B . .
remember_args                        .text    00000000000BCF10 00000195 0000003C 00000008 R . . . B . .
set_dollar_vars_changed              .text    00000000000BD0B0 00000083 00000008 00000000 R . . . B . .
dollar_vars_changed                  .text    00000000000BD140 00000017 00000004 00000000 R . . . B . .
set_dollar_vars_unchanged            .text    00000000000BD160 0000001B 00000004 00000000 R . . . B . .
get_numeric_arg                      .text    00000000000BD180 00000191 0000003C 0000000C R . . . B . .
get_exitstat                         .text    00000000000BD320 00000137 0000003C 00000004 R . . . B . .
read_octal                           .text    00000000000BD460 000000DC 00000018 00000004 R . . . B . .
get_working_directory                .text    00000000000BD540 000001F2 0000005C 00000004 R . . . B . .
set_working_directory                .text    00000000000BD740 000000CD 0000003C 00000004 R . . . B . .
get_job_by_name                      .text    00000000000BD810 000002D6 0000005C 00000008 R . . . B . .
get_job_spec                         .text    00000000000BDAF0 000001BC 0000004C 00000004 R . . . B . .
display_signal_list                  .text    00000000000BDCB0 0000059A 0000009C 00000008 R . . . B . .
builtin_address_internal             .text    00000000000BE250 0000017A 0000003C 00000008 R . . . B . .
find_shell_builtin                   .text    00000000000BE3D0 00000073 0000002C 00000004 R . . . B . .
builtin_address                      .text    00000000000BE450 00000076 0000002C 00000004 R . . . B . .
find_special_builtin                 .text    00000000000BE4D0 0000008D 0000002C 00000004 R . . . B . .
initialize_shell_builtins            .text    00000000000BE560 00000055 0000002C 00000000 R . . . B . .
shell_builtin_compare                .text    00000000000BE5C0 00000065 0000002C 00000008 R . . . B . .
builtin_error_prolog                 .text    00000000000BE630 000000FD 0000003C 00000000 R . . . B . .
declare_builtin                      .text    00000000000BE730 00000039 0000001C 00000004 R . . . B . .
declare_internal                     .text    00000000000BE770 00001C7F 000001EC 00000008 R . . . B . .
local_builtin                        .text    00000000000C03F0 0000007F 0000002C 00000004 R . . . B . .
echo_builtin                         .text    00000000000C0470 00000464 0000009C 00000004 R . . . B . .
enable_builtin                       .text    00000000000C08E0 00000379 0000005C 00000004 R . . . B . .
list_some_builtins                   .text    00000000000C0C60 00000182 0000002C 00000004 R . . . B . .
dyn_load_builtin                     .text    00000000000C0DF0 00000556 000000BC 0000000C R . . . B . .
dyn_unload_builtin                   .text    00000000000C1350 00000192 0000003C 00000004 R . . . B . .
enable_shell_command                 .text    00000000000C14F0 00000100 0000003C 00000008 R . . . B . .
local_dlclose                        .text    00000000000C15F0 0000002C 0000001C 00000004 R . . . B . .
delete_builtin                       .text    00000000000C1620 0000014C 0000004C 00000004 R . . . B . .
eval_builtin                         .text    00000000000C1770 000000AA 0000002C 00000004 R . . . B . .
maybe_execute_file                   .text    00000000000C1820 000000A6 0000003C 00000008 R . . . B . .
_evalfile                            .text    00000000000C18D0 000010EA 0000027C 00000008 R . . . B . .
fc_execute_file                      .text    00000000000C29C0 0000003A 0000001C 00000004 R . . . B . .
source_file                          .text    00000000000C2A00 000000A6 0000002C 00000008 R . . . B . .
parse_and_execute_cleanup            .text    00000000000C2AB0 00000083 0000001C 00000000 R . . . B . .
parse_and_execute                    .text    00000000000C2B40 0000086D 0000011C 0000000C R . . . B . .
parse_prologue                       .text    00000000000C33B0 000003AB 0000007C 0000000C R . . . B . .
cat_file                             .text    00000000000C3760 000001C3 0000004C 00000004 R . . . B . .
parse_string                         .text    00000000000C3930 00000367 000000FC 00000010 R . . . B . .
evalstring                           .text    00000000000C3CA0 00000192 0000004C 0000000C R . . . B . .
restore_lastcom                      .text    00000000000C3E40 00000078 0000002C 00000004 R . . . B . .
set_history_remembering              .text    00000000000C3EC0 00000021 00000004 00000000 R . . . B . .
exec_builtin                         .text    00000000000C3EF0 000006FF 000000CC 00000004 R . . . B . .
mkdashname                           .text    00000000000C45F0 0000008B 0000003C 00000004 R . . . B . .
exit_builtin                         .text    00000000000C4680 000000B8 0000002C 00000004 R . . . B . .
exit_or_logout                       .text    00000000000C4740 000002BF 0000005C 00000004 R . . . B . .
logout_builtin                       .text    00000000000C4A00 0000006F 0000001C 00000004 R . . . B . .
bash_logout                          .text    00000000000C4A70 00000080 0000001C 00000000 R . . . B . .
fc_builtin                           .text    00000000000C4AF0 0000109B 0000017C 00000004 R . . . B . .
fc_number                            .text    00000000000C5B90 0000007C 0000002C 00000004 R . . . B . .
fc_gethist                           .text    00000000000C5C10 000000D7 0000003C 00000008 R . . . B . .
fc_dosubs                            .text    00000000000C5CF0 00000102 0000004C 00000008 R . . . B . .
fc_replhist                          .text    00000000000C5E00 000000A7 0000001C 00000004 R . . . B . .
fc_gethnum                           .text    00000000000C5EB0 0000036B 0000005C 00000008 R . . . B . .
fg_builtin                           .text    00000000000C6220 00000139 0000002C 00000004 R . . . B . .
fg_bg                                .text    00000000000C6360 00000331 0000017C 00000008 R . . . B . .
bg_builtin                           .text    00000000000C66A0 000000DE 0000002C 00000004 R . . . B . .
hash_builtin                         .text    00000000000C6780 0000043B 0000007C 00000004 R . . . B . .
print_hashed_commands                .text    00000000000C6BC0 000000DE 0000002C 00000004 R . . . B . .
list_hashed_filename_targets         .text    00000000000C6CA0 00000158 0000004C 00000008 R . . . B . .
add_hashed_command                   .text    00000000000C6E00 0000013F 0000004C 00000008 R . . . B . .
print_portable_hash_info             .text    00000000000C6F40 0000004E 0000002C 00000004 R . . . B . .
print_hash_info                      .text    00000000000C6F90 0000004E 0000002C 00000004 R . . . B . .
help_builtin                         .text    00000000000C6FE0 000004A4 0000008C 00000004 R . . . B . .
show_builtin_command_help            .text    00000000000C7490 00000242 000000DC 00000000 R . . . B . .
show_desc                            .text    00000000000C76E0 00000201 0000005C 00000008 R . . . B . .
show_manpage                         .text    00000000000C78F0 000005A8 000000DC 00000008 R . . . B . .
show_longdoc                         .text    00000000000C7EA0 0000014F 0000004C 00000004 R . . . B . .
open_helpfile                        .text    00000000000C7FF0 000000A8 0000003C 00000004 R . . . B . .
wdispcolumn                          .text    00000000000C80A0 000004A4 0000008C 00000014 R . . . B . .
dispcolumn                           .text    00000000000C8550 00000237 0000005C 00000014 R . . . B . .
history_builtin                      .text    00000000000C8790 000005B7 0000009C 00000004 R . . . B . .
push_history                         .text    00000000000C8D50 0000010B 0000003C 00000004 R . . . B . .
expand_and_print_history             .text    00000000000C8E60 00000175 0000004C 00000004 R . . . B . .
display_history                      .text    00000000000C8FE0 000002A0 0000006C 00000004 R . . . B . .
histtime                             .text    00000000000C9280 000000B5 0000003C 00000008 R . . . B . .
jobs_builtin                         .text    00000000000C9340 000003D4 0000017C 00000004 R . . . B . .
execute_list_with_replacements       .text    00000000000C9720 000001AA 0000003C 00000004 R . . . B . .
disown_builtin                       .text    00000000000C98D0 0000041E 0000018C 00000004 R . . . B . .
kill_builtin                         .text    00000000000C9CF0 000007A9 000001AC 00000004 R . . . B . .
kill_error                           .text    00000000000CA4A0 0000007B 0000002C 00000008 R . . . B . .
let_builtin                          .text    00000000000CA520 0000011E 0000003C 00000004 R . . . B . .
mapfile_builtin                      .text    00000000000CA640 0000060C 000000BC 00000004 R . . . B . .
mapfile                              .text    00000000000CAC50 000003B4 0000008C 00000020 R . . . B . .
do_chop                              .text    00000000000CB010 0000005D 0000001C 00000004 R . . . B . .
run_callback                         .text    00000000000CB070 00000137 0000006C 0000000C R . . . B . .
pushd_builtin                        .text    00000000000CB1B0 0000074C 0000009C 00000004 R . . . B . .
change_to_temp                       .text    00000000000CB900 00000079 0000002C 00000004 R . . . B . .
pushd_error                          .text    00000000000CB980 00000080 0000002C 00000008 R . . . B . .
add_dirstack_element                 .text    00000000000CBA00 00000085 0000001C 00000004 R . . . B . .
dirs_builtin                         .text    00000000000CBA90 000007DA 000000CC 00000004 R . . . B . .
popd_builtin                         .text    00000000000CC270 0000049F 0000007C 00000004 R . . . B . .
